Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2025-12-23T02:23:14+05:30
Running ./benchmark.out
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 3.80, 2.99, 2.83
---------------------------------------------------------------------------------------------------
Benchmark                                                         Time             CPU   Iterations
---------------------------------------------------------------------------------------------------
BM_StdVectorPush/10/iterations:30_mean                          402 ns          389 ns            3
BM_StdVectorPush/10/iterations:30_median                        371 ns          333 ns            3
BM_StdVectorPush/10/iterations:30_stddev                        144 ns          158 ns            3
BM_StdVectorPush/10/iterations:30_cv                          35.86 %         40.51 %             3
BM_StdVectorPush/100/iterations:30_mean                         692 ns          678 ns            3
BM_StdVectorPush/100/iterations:30_median                       567 ns          533 ns            3
BM_StdVectorPush/100/iterations:30_stddev                       232 ns          250 ns            3
BM_StdVectorPush/100/iterations:30_cv                         33.59 %         36.91 %             3
BM_StdVectorPush/1000/iterations:30_mean                       2936 ns         2933 ns            3
BM_StdVectorPush/1000/iterations:30_median                     2844 ns         2833 ns            3
BM_StdVectorPush/1000/iterations:30_stddev                      164 ns          173 ns            3
BM_StdVectorPush/1000/iterations:30_cv                         5.57 %          5.90 %             3
BM_StdVectorPush/10000/iterations:30_mean                     28481 ns        28489 ns            3
BM_StdVectorPush/10000/iterations:30_median                   27299 ns        27300 ns            3
BM_StdVectorPush/10000/iterations:30_stddev                    2131 ns         2146 ns            3
BM_StdVectorPush/10000/iterations:30_cv                        7.48 %          7.53 %             3
BM_StdVectorPush/100000/iterations:30_mean                   261918 ns       261300 ns            3
BM_StdVectorPush/100000/iterations:30_median                 259807 ns       259300 ns            3
BM_StdVectorPush/100000/iterations:30_stddev                   4758 ns         4116 ns            3
BM_StdVectorPush/100000/iterations:30_cv                       1.82 %          1.58 %             3
BM_StdVectorPush/1000000/iterations:30_mean                 2591490 ns      2586922 ns            3
BM_StdVectorPush/1000000/iterations:30_median               2577787 ns      2577133 ns            3
BM_StdVectorPush/1000000/iterations:30_stddev                 37860 ns        30646 ns            3
BM_StdVectorPush/1000000/iterations:30_cv                      1.46 %          1.18 %             3
BM_StdVectorPush/10000000/iterations:30_mean               27608013 ns     27396156 ns            3
BM_StdVectorPush/10000000/iterations:30_median             27560181 ns     27182700 ns            3
BM_StdVectorPush/10000000/iterations:30_stddev               451154 ns       592968 ns            3
BM_StdVectorPush/10000000/iterations:30_cv                     1.63 %          2.16 %             3
BM_ConstantVectorPush/10/iterations:30_mean                     225 ns          200 ns            3
BM_ConstantVectorPush/10/iterations:30_median                   133 ns          133 ns            3
BM_ConstantVectorPush/10/iterations:30_stddev                   196 ns          145 ns            3
BM_ConstantVectorPush/10/iterations:30_cv                     87.09 %         72.65 %             3
BM_ConstantVectorPush/100/iterations:30_mean                    194 ns          178 ns            3
BM_ConstantVectorPush/100/iterations:30_median                  165 ns          167 ns            3
BM_ConstantVectorPush/100/iterations:30_stddev                 54.6 ns         19.2 ns            3
BM_ConstantVectorPush/100/iterations:30_cv                    28.15 %         10.83 %             3
BM_ConstantVectorPush/1000/iterations:30_mean                  1000 ns         1000 ns            3
BM_ConstantVectorPush/1000/iterations:30_median                 768 ns          767 ns            3
BM_ConstantVectorPush/1000/iterations:30_stddev                 405 ns          404 ns            3
BM_ConstantVectorPush/1000/iterations:30_cv                   40.47 %         40.41 %             3
BM_ConstantVectorPush/10000/iterations:30_mean                 6246 ns         6256 ns            3
BM_ConstantVectorPush/10000/iterations:30_median               6026 ns         6033 ns            3
BM_ConstantVectorPush/10000/iterations:30_stddev                403 ns          414 ns            3
BM_ConstantVectorPush/10000/iterations:30_cv                   6.45 %          6.62 %             3
BM_ConstantVectorPush/100000/iterations:30_mean               59709 ns        59700 ns            3
BM_ConstantVectorPush/100000/iterations:30_median             59379 ns        59367 ns            3
BM_ConstantVectorPush/100000/iterations:30_stddev               683 ns          696 ns            3
BM_ConstantVectorPush/100000/iterations:30_cv                  1.14 %          1.17 %             3
BM_ConstantVectorPush/1000000/iterations:30_mean             593358 ns       593344 ns            3
BM_ConstantVectorPush/1000000/iterations:30_median           593268 ns       593267 ns            3
BM_ConstantVectorPush/1000000/iterations:30_stddev             4152 ns         4151 ns            3
BM_ConstantVectorPush/1000000/iterations:30_cv                 0.70 %          0.70 %             3
BM_ConstantVectorPush/10000000/iterations:30_mean           5972200 ns      5951100 ns            3
BM_ConstantVectorPush/10000000/iterations:30_median         6012953 ns      5982333 ns            3
BM_ConstantVectorPush/10000000/iterations:30_stddev           78145 ns        59964 ns            3
BM_ConstantVectorPush/10000000/iterations:30_cv                1.31 %          1.01 %             3
BM_StdVectorPop/10/iterations:30_mean                           841 ns          856 ns            3
BM_StdVectorPop/10/iterations:30_median                         790 ns          733 ns            3
BM_StdVectorPop/10/iterations:30_stddev                         114 ns          302 ns            3
BM_StdVectorPop/10/iterations:30_cv                           13.61 %         35.35 %             3
BM_StdVectorPop/100/iterations:30_mean                          999 ns         1200 ns            3
BM_StdVectorPop/100/iterations:30_median                        963 ns         1167 ns            3
BM_StdVectorPop/100/iterations:30_stddev                       66.2 ns          252 ns            3
BM_StdVectorPop/100/iterations:30_cv                           6.63 %         20.97 %             3
BM_StdVectorPop/1000/iterations:30_mean                        3222 ns         3156 ns            3
BM_StdVectorPop/1000/iterations:30_median                      3147 ns         3200 ns            3
BM_StdVectorPop/1000/iterations:30_stddev                       133 ns          269 ns            3
BM_StdVectorPop/1000/iterations:30_cv                          4.12 %          8.54 %             3
BM_StdVectorPop/10000/iterations:30_mean                      25376 ns        25222 ns            3
BM_StdVectorPop/10000/iterations:30_median                    25314 ns        25167 ns            3
BM_StdVectorPop/10000/iterations:30_stddev                      141 ns          255 ns            3
BM_StdVectorPop/10000/iterations:30_cv                         0.56 %          1.01 %             3
BM_StdVectorPop/100000/iterations:30_mean                    244120 ns       243956 ns            3
BM_StdVectorPop/100000/iterations:30_median                  245054 ns       245300 ns            3
BM_StdVectorPop/100000/iterations:30_stddev                    2794 ns         2683 ns            3
BM_StdVectorPop/100000/iterations:30_cv                        1.14 %          1.10 %             3
BM_StdVectorPop/1000000/iterations:30_mean                  2547000 ns      2513300 ns            3
BM_StdVectorPop/1000000/iterations:30_median                2547190 ns      2535933 ns            3
BM_StdVectorPop/1000000/iterations:30_stddev                  95969 ns        58090 ns            3
BM_StdVectorPop/1000000/iterations:30_cv                       3.77 %          2.31 %             3
BM_StdVectorPop/10000000/iterations:30_mean                25281468 ns     25280522 ns            3
BM_StdVectorPop/10000000/iterations:30_median              25288571 ns     25288433 ns            3
BM_StdVectorPop/10000000/iterations:30_stddev                 92662 ns        91623 ns            3
BM_StdVectorPop/10000000/iterations:30_cv                      0.37 %          0.36 %             3
BM_ConstantVectorPop/10/iterations:30_mean                      932 ns          900 ns            3
BM_ConstantVectorPop/10/iterations:30_median                    732 ns          967 ns            3
BM_ConstantVectorPop/10/iterations:30_stddev                    350 ns          176 ns            3
BM_ConstantVectorPop/10/iterations:30_cv                      37.50 %         19.60 %             3
BM_ConstantVectorPop/100/iterations:30_mean                     991 ns          833 ns            3
BM_ConstantVectorPop/100/iterations:30_median                   939 ns          600 ns            3
BM_ConstantVectorPop/100/iterations:30_stddev                   103 ns          404 ns            3
BM_ConstantVectorPop/100/iterations:30_cv                     10.37 %         48.50 %             3
BM_ConstantVectorPop/1000/iterations:30_mean                   2824 ns         2956 ns            3
BM_ConstantVectorPop/1000/iterations:30_median                 2796 ns         3200 ns            3
BM_ConstantVectorPop/1000/iterations:30_stddev                 56.8 ns          543 ns            3
BM_ConstantVectorPop/1000/iterations:30_cv                     2.01 %         18.37 %             3
BM_ConstantVectorPop/10000/iterations:30_mean                 20669 ns        20544 ns            3
BM_ConstantVectorPop/10000/iterations:30_median               20644 ns        20500 ns            3
BM_ConstantVectorPop/10000/iterations:30_stddev                53.6 ns          236 ns            3
BM_ConstantVectorPop/10000/iterations:30_cv                    0.26 %          1.15 %             3
BM_ConstantVectorPop/100000/iterations:30_mean               203950 ns       203878 ns            3
BM_ConstantVectorPop/100000/iterations:30_median             205069 ns       204933 ns            3
BM_ConstantVectorPop/100000/iterations:30_stddev               2480 ns         2429 ns            3
BM_ConstantVectorPop/100000/iterations:30_cv                   1.22 %          1.19 %             3
BM_ConstantVectorPop/1000000/iterations:30_mean             2002282 ns      2002011 ns            3
BM_ConstantVectorPop/1000000/iterations:30_median           2002486 ns      2002133 ns            3
BM_ConstantVectorPop/1000000/iterations:30_stddev              1790 ns         1720 ns            3
BM_ConstantVectorPop/1000000/iterations:30_cv                  0.09 %          0.09 %             3
BM_ConstantVectorPop/10000000/iterations:30_mean           20124885 ns     20120289 ns            3
BM_ConstantVectorPop/10000000/iterations:30_median         20097310 ns     20094900 ns            3
BM_ConstantVectorPop/10000000/iterations:30_stddev            59157 ns        57580 ns            3
BM_ConstantVectorPop/10000000/iterations:30_cv                 0.29 %          0.29 %             3
BM_StdVectorAccess/10/iterations:30_mean                       58.8 ns         55.6 ns            3
BM_StdVectorAccess/10/iterations:30_median                     34.7 ns         33.3 ns            3
BM_StdVectorAccess/10/iterations:30_stddev                     42.9 ns         38.5 ns            3
BM_StdVectorAccess/10/iterations:30_cv                        72.96 %         69.28 %             3
BM_StdVectorAccess/100/iterations:30_mean                       103 ns          122 ns            3
BM_StdVectorAccess/100/iterations:30_median                    98.6 ns          100 ns            3
BM_StdVectorAccess/100/iterations:30_stddev                    17.7 ns         38.5 ns            3
BM_StdVectorAccess/100/iterations:30_cv                       17.25 %         31.49 %             3
BM_StdVectorAccess/1000/iterations:30_mean                      654 ns          656 ns            3
BM_StdVectorAccess/1000/iterations:30_median                    646 ns          633 ns            3
BM_StdVectorAccess/1000/iterations:30_stddev                   13.6 ns         38.5 ns            3
BM_StdVectorAccess/1000/iterations:30_cv                       2.08 %          5.87 %             3
BM_StdVectorAccess/10000/iterations:30_mean                    6386 ns         6389 ns            3
BM_StdVectorAccess/10000/iterations:30_median                  6386 ns         6367 ns            3
BM_StdVectorAccess/10000/iterations:30_stddev                   155 ns          135 ns            3
BM_StdVectorAccess/10000/iterations:30_cv                      2.43 %          2.11 %             3
BM_StdVectorAccess/100000/iterations:30_mean                  66296 ns        65500 ns            3
BM_StdVectorAccess/100000/iterations:30_median                67215 ns        66167 ns            3
BM_StdVectorAccess/100000/iterations:30_stddev                 2823 ns         2114 ns            3
BM_StdVectorAccess/100000/iterations:30_cv                     4.26 %          3.23 %             3
BM_StdVectorAccess/1000000/iterations:30_mean                631345 ns       631089 ns            3
BM_StdVectorAccess/1000000/iterations:30_median              629604 ns       629633 ns            3
BM_StdVectorAccess/1000000/iterations:30_stddev                3229 ns         2755 ns            3
BM_StdVectorAccess/1000000/iterations:30_cv                    0.51 %          0.44 %             3
