Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2025-12-23T01:42:56+05:30
Running ./benchmark.out
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 3.26, 2.59, 2.88
---------------------------------------------------------------------------------------------------
Benchmark                                                         Time             CPU   Iterations
---------------------------------------------------------------------------------------------------
BM_StdVectorPush/10/iterations:30_mean                          339 ns          322 ns            3
BM_StdVectorPush/10/iterations:30_median                        303 ns          267 ns            3
BM_StdVectorPush/10/iterations:30_stddev                        170 ns          158 ns            3
BM_StdVectorPush/10/iterations:30_cv                          50.04 %         48.89 %             3
BM_StdVectorPush/100/iterations:30_mean                         466 ns          489 ns            3
BM_StdVectorPush/100/iterations:30_median                       361 ns          400 ns            3
BM_StdVectorPush/100/iterations:30_stddev                       186 ns          154 ns            3
BM_StdVectorPush/100/iterations:30_cv                         39.82 %         31.49 %             3
BM_StdVectorPush/1000/iterations:30_mean                       1337 ns         1278 ns            3
BM_StdVectorPush/1000/iterations:30_median                     1125 ns         1133 ns            3
BM_StdVectorPush/1000/iterations:30_stddev                      388 ns          280 ns            3
BM_StdVectorPush/1000/iterations:30_cv                        29.05 %         21.88 %             3
BM_StdVectorPush/10000/iterations:30_mean                      9147 ns         9144 ns            3
BM_StdVectorPush/10000/iterations:30_median                    8925 ns         8900 ns            3
BM_StdVectorPush/10000/iterations:30_stddev                     651 ns          668 ns            3
BM_StdVectorPush/10000/iterations:30_cv                        7.12 %          7.30 %             3
BM_StdVectorPush/100000/iterations:30_mean                    79276 ns        78978 ns            3
BM_StdVectorPush/100000/iterations:30_median                  79190 ns        78967 ns            3
BM_StdVectorPush/100000/iterations:30_stddev                    360 ns          683 ns            3
BM_StdVectorPush/100000/iterations:30_cv                       0.45 %          0.87 %             3
BM_StdVectorPush/1000000/iterations:30_mean                  767862 ns       762633 ns            3
BM_StdVectorPush/1000000/iterations:30_median                757837 ns       751067 ns            3
BM_StdVectorPush/1000000/iterations:30_stddev                 36330 ns        34471 ns            3
BM_StdVectorPush/1000000/iterations:30_cv                      4.73 %          4.52 %             3
BM_StdVectorPush/10000000/iterations:30_mean                8115195 ns      8112400 ns            3
BM_StdVectorPush/10000000/iterations:30_median              8010667 ns      8010667 ns            3
BM_StdVectorPush/10000000/iterations:30_stddev               193994 ns       189110 ns            3
BM_StdVectorPush/10000000/iterations:30_cv                     2.39 %          2.33 %             3
BM_ConstantVectorPush/10/iterations:30_mean                     200 ns          211 ns            3
BM_ConstantVectorPush/10/iterations:30_median                  84.7 ns        100.0 ns            3
BM_ConstantVectorPush/10/iterations:30_stddev                   204 ns          192 ns            3
BM_ConstantVectorPush/10/iterations:30_cv                    101.80 %         91.16 %             3
BM_ConstantVectorPush/100/iterations:30_mean                    167 ns          167 ns            3
BM_ConstantVectorPush/100/iterations:30_median                  147 ns          167 ns            3
BM_ConstantVectorPush/100/iterations:30_stddev                 34.9 ns         33.3 ns            3
BM_ConstantVectorPush/100/iterations:30_cv                    20.94 %         20.00 %             3
BM_ConstantVectorPush/1000/iterations:30_mean                  1768 ns         1778 ns            3
BM_ConstantVectorPush/1000/iterations:30_median                1787 ns         1800 ns            3
BM_ConstantVectorPush/1000/iterations:30_stddev                85.0 ns         69.4 ns            3
BM_ConstantVectorPush/1000/iterations:30_cv                    4.81 %          3.90 %             3
BM_ConstantVectorPush/10000/iterations:30_mean                12642 ns        12633 ns            3
BM_ConstantVectorPush/10000/iterations:30_median              12468 ns        12467 ns            3
BM_ConstantVectorPush/10000/iterations:30_stddev                829 ns          797 ns            3
BM_ConstantVectorPush/10000/iterations:30_cv                   6.56 %          6.30 %             3
BM_ConstantVectorPush/100000/iterations:30_mean              110156 ns       110144 ns            3
BM_ConstantVectorPush/100000/iterations:30_median            110690 ns       110700 ns            3
BM_ConstantVectorPush/100000/iterations:30_stddev              1224 ns         1231 ns            3
BM_ConstantVectorPush/100000/iterations:30_cv                  1.11 %          1.12 %             3
BM_ConstantVectorPush/1000000/iterations:30_mean            1108295 ns      1108300 ns            3
BM_ConstantVectorPush/1000000/iterations:30_median          1112314 ns      1112333 ns            3
BM_ConstantVectorPush/1000000/iterations:30_stddev            11667 ns        11653 ns            3
BM_ConstantVectorPush/1000000/iterations:30_cv                 1.05 %          1.05 %             3
BM_ConstantVectorPush/10000000/iterations:30_mean          10984776 ns     10984789 ns            3
BM_ConstantVectorPush/10000000/iterations:30_median        11010567 ns     11010600 ns            3
BM_ConstantVectorPush/10000000/iterations:30_stddev           45241 ns        45256 ns            3
BM_ConstantVectorPush/10000000/iterations:30_cv                0.41 %          0.41 %             3
BM_StdVectorPop/10/iterations:30_mean                           754 ns          600 ns            3
BM_StdVectorPop/10/iterations:30_median                         706 ns          533 ns            3
BM_StdVectorPop/10/iterations:30_stddev                        90.8 ns          306 ns            3
BM_StdVectorPop/10/iterations:30_cv                           12.04 %         50.92 %             3
BM_StdVectorPop/100/iterations:30_mean                          712 ns          633 ns            3
BM_StdVectorPop/100/iterations:30_median                        690 ns          567 ns            3
BM_StdVectorPop/100/iterations:30_stddev                       37.7 ns          273 ns            3
BM_StdVectorPop/100/iterations:30_cv                           5.29 %         43.08 %             3
BM_StdVectorPop/1000/iterations:30_mean                         705 ns          600 ns            3
BM_StdVectorPop/1000/iterations:30_median                       699 ns          667 ns            3
BM_StdVectorPop/1000/iterations:30_stddev                      16.3 ns          145 ns            3
BM_StdVectorPop/1000/iterations:30_cv                          2.31 %         24.22 %             3
BM_StdVectorPop/10000/iterations:30_mean                       1278 ns         1289 ns            3
BM_StdVectorPop/10000/iterations:30_median                     1178 ns         1267 ns            3
BM_StdVectorPop/10000/iterations:30_stddev                      175 ns          168 ns            3
BM_StdVectorPop/10000/iterations:30_cv                        13.71 %         13.02 %             3
