Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2025-12-23T02:05:18+05:30
Running ./benchmark.out
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 3.09, 3.17, 2.79
---------------------------------------------------------------------------------------------------
Benchmark                                                         Time             CPU   Iterations
BM_StdVectorPop/1000000/iterations:30_median                   1476 ns         1500 ns            3
BM_StdVectorPop/1000000/iterations:30_stddev                    161 ns          250 ns            3
BM_StdVectorPop/1000000/iterations:30_cv                      10.98 %         16.80 %             3
BM_StdVectorPop/10000000/iterations:30_mean                    4556 ns         4400 ns            3
BM_StdVectorPop/10000000/iterations:30_median                  4600 ns         4433 ns            3
BM_StdVectorPop/10000000/iterations:30_stddev                   522 ns          418 ns            3
BM_StdVectorPop/10000000/iterations:30_cv                     11.46 %          9.49 %             3
BM_ConstantVectorPop/10/iterations:30_mean                      813 ns         1156 ns            3
BM_ConstantVectorPop/10/iterations:30_median                    746 ns         1233 ns            3
BM_ConstantVectorPop/10/iterations:30_stddev                    129 ns          164 ns            3
BM_ConstantVectorPop/10/iterations:30_cv                      15.87 %         14.23 %             3
BM_ConstantVectorPop/100/iterations:30_mean                     795 ns          867 ns            3
BM_ConstantVectorPop/100/iterations:30_median                   775 ns          800 ns            3
BM_ConstantVectorPop/100/iterations:30_stddev                  49.7 ns          404 ns            3
BM_ConstantVectorPop/100/iterations:30_cv                      6.25 %         46.63 %             3
BM_ConstantVectorPop/1000/iterations:30_mean                   1189 ns          956 ns            3
BM_ConstantVectorPop/1000/iterations:30_median                 1178 ns          833 ns            3
BM_ConstantVectorPop/1000/iterations:30_stddev                 29.3 ns          302 ns            3
BM_ConstantVectorPop/1000/iterations:30_cv                     2.47 %         31.65 %             3
BM_ConstantVectorPop/10000/iterations:30_mean                  4757 ns         4722 ns            3
BM_ConstantVectorPop/10000/iterations:30_median                4701 ns         4500 ns            3
BM_ConstantVectorPop/10000/iterations:30_stddev                 113 ns          505 ns            3
BM_ConstantVectorPop/10000/iterations:30_cv                    2.38 %         10.69 %             3
BM_ConstantVectorPop/100000/iterations:30_mean                40996 ns        41022 ns            3
BM_ConstantVectorPop/100000/iterations:30_median              40811 ns        40833 ns            3
BM_ConstantVectorPop/100000/iterations:30_stddev                719 ns          638 ns            3
BM_ConstantVectorPop/100000/iterations:30_cv                   1.75 %          1.56 %             3
BM_ConstantVectorPop/1000000/iterations:30_mean              380191 ns       380200 ns            3
BM_ConstantVectorPop/1000000/iterations:30_median            380768 ns       380800 ns            3
BM_ConstantVectorPop/1000000/iterations:30_stddev              3281 ns         3341 ns            3
BM_ConstantVectorPop/1000000/iterations:30_cv                  0.86 %          0.88 %             3
BM_ConstantVectorPop/10000000/iterations:30_mean            3758972 ns      3758489 ns            3
BM_ConstantVectorPop/10000000/iterations:30_median          3757746 ns      3756367 ns            3
BM_ConstantVectorPop/10000000/iterations:30_stddev             9906 ns         9987 ns            3
BM_ConstantVectorPop/10000000/iterations:30_cv                 0.26 %          0.27 %             3
BM_StdVectorAccess/10/iterations:30_mean                       84.7 ns         88.9 ns            3
BM_StdVectorAccess/10/iterations:30_median                     29.2 ns         33.3 ns            3
BM_StdVectorAccess/10/iterations:30_stddev                     97.4 ns         96.2 ns            3
BM_StdVectorAccess/10/iterations:30_cv                       115.00 %        108.25 %             3
BM_StdVectorAccess/100/iterations:30_mean                      75.4 ns         77.8 ns            3
BM_StdVectorAccess/100/iterations:30_median                    63.9 ns         66.7 ns            3
BM_StdVectorAccess/100/iterations:30_stddev                    23.7 ns         19.2 ns            3
BM_StdVectorAccess/100/iterations:30_cv                       31.48 %         24.74 %             3
BM_StdVectorAccess/1000/iterations:30_mean                      414 ns          422 ns            3
BM_StdVectorAccess/1000/iterations:30_median                    410 ns          433 ns            3
BM_StdVectorAccess/1000/iterations:30_stddev                   9.24 ns         19.2 ns            3
BM_StdVectorAccess/1000/iterations:30_cv                       2.23 %          4.56 %             3
BM_StdVectorAccess/10000/iterations:30_mean                    3962 ns         3978 ns            3
BM_StdVectorAccess/10000/iterations:30_median                  3950 ns         3967 ns            3
BM_StdVectorAccess/10000/iterations:30_stddev                  20.8 ns         19.2 ns            3
BM_StdVectorAccess/10000/iterations:30_cv                      0.53 %          0.48 %             3
BM_StdVectorAccess/100000/iterations:30_mean                  40402 ns        40411 ns            3
BM_StdVectorAccess/100000/iterations:30_median                40453 ns        40467 ns            3
BM_StdVectorAccess/100000/iterations:30_stddev                  463 ns          453 ns            3
BM_StdVectorAccess/100000/iterations:30_cv                     1.15 %          1.12 %             3
BM_StdVectorAccess/1000000/iterations:30_mean                405530 ns       405522 ns            3
BM_StdVectorAccess/1000000/iterations:30_median              405644 ns       405633 ns            3
BM_StdVectorAccess/1000000/iterations:30_stddev                 347 ns          347 ns            3
BM_StdVectorAccess/1000000/iterations:30_cv                    0.09 %          0.09 %             3
BM_StdVectorAccess/10000000/iterations:30_mean              4063529 ns      4060567 ns            3
BM_StdVectorAccess/10000000/iterations:30_median            4066560 ns      4066567 ns            3
BM_StdVectorAccess/10000000/iterations:30_stddev              45081 ns        41030 ns            3
BM_StdVectorAccess/10000000/iterations:30_cv                   1.11 %          1.01 %             3
BM_ConstantVectorAccess/10/iterations:30_mean                  74.5 ns         66.7 ns            3
BM_ConstantVectorAccess/10/iterations:30_median                52.8 ns         66.7 ns            3
BM_ConstantVectorAccess/10/iterations:30_stddev                59.3 ns         33.3 ns            3
BM_ConstantVectorAccess/10/iterations:30_cv                   79.59 %         50.00 %             3
BM_ConstantVectorAccess/100/iterations:30_mean                  112 ns          122 ns            3
BM_ConstantVectorAccess/100/iterations:30_median                101 ns          133 ns            3
BM_ConstantVectorAccess/100/iterations:30_stddev               21.4 ns         19.2 ns            3
BM_ConstantVectorAccess/100/iterations:30_cv                  19.14 %         15.75 %             3
BM_ConstantVectorAccess/1000/iterations:30_mean                 779 ns          778 ns            3
BM_ConstantVectorAccess/1000/iterations:30_median               772 ns          800 ns            3
BM_ConstantVectorAccess/1000/iterations:30_stddev              11.2 ns         38.5 ns            3
BM_ConstantVectorAccess/1000/iterations:30_cv                  1.44 %          4.95 %             3
BM_ConstantVectorAccess/10000/iterations:30_mean               7570 ns         7589 ns            3
BM_ConstantVectorAccess/10000/iterations:30_median             7572 ns         7600 ns            3
BM_ConstantVectorAccess/10000/iterations:30_stddev             5.29 ns         19.2 ns            3
BM_ConstantVectorAccess/10000/iterations:30_cv                 0.07 %          0.25 %             3
BM_ConstantVectorAccess/100000/iterations:30_mean             75695 ns        75711 ns            3
BM_ConstantVectorAccess/100000/iterations:30_median           75617 ns        75633 ns            3
BM_ConstantVectorAccess/100000/iterations:30_stddev             149 ns          164 ns            3
BM_ConstantVectorAccess/100000/iterations:30_cv                0.20 %          0.22 %             3
BM_ConstantVectorAccess/1000000/iterations:30_mean           768845 ns       768844 ns            3
BM_ConstantVectorAccess/1000000/iterations:30_median         768593 ns       768600 ns            3
BM_ConstantVectorAccess/1000000/iterations:30_stddev           5368 ns         5371 ns            3
BM_ConstantVectorAccess/1000000/iterations:30_cv               0.70 %          0.70 %             3
BM_ConstantVectorAccess/10000000/iterations:30_mean         7694900 ns      7694889 ns            3
BM_ConstantVectorAccess/10000000/iterations:30_median       7704538 ns      7704500 ns            3
BM_ConstantVectorAccess/10000000/iterations:30_stddev         26474 ns        26460 ns            3
BM_ConstantVectorAccess/10000000/iterations:30_cv              0.34 %          0.34 %             3
BM_StdVectorIteration/10/iterations:30_mean                    68.5 ns         44.4 ns            3
BM_StdVectorIteration/10/iterations:30_median                  47.2 ns         33.3 ns            3
BM_StdVectorIteration/10/iterations:30_stddev                  55.9 ns         50.9 ns            3
BM_StdVectorIteration/10/iterations:30_cv                     81.56 %        114.56 %             3
BM_StdVectorIteration/100/iterations:30_mean                   50.0 ns         44.4 ns            3
BM_StdVectorIteration/100/iterations:30_median                 33.3 ns         33.3 ns            3
BM_StdVectorIteration/100/iterations:30_stddev                 30.1 ns         50.9 ns            3
