Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2025-12-23T01:36:45+05:30
Running ./benchmark.out
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 2.26, 2.17, 3.04
---------------------------------------------------------------------------------------------------
Benchmark                                                         Time             CPU   Iterations
---------------------------------------------------------------------------------------------------
BM_StdVectorPush/10/iterations:30_mean                          325 ns          311 ns            3
BM_StdVectorPush/10/iterations:30_median                        262 ns          233 ns            3
BM_StdVectorPush/10/iterations:30_stddev                        135 ns          135 ns            3
BM_StdVectorPush/10/iterations:30_cv                          41.53 %         43.30 %             3
BM_StdVectorPush/100/iterations:30_mean                         541 ns          533 ns            3
BM_StdVectorPush/100/iterations:30_median                       401 ns          400 ns            3
BM_StdVectorPush/100/iterations:30_stddev                       287 ns          291 ns            3
BM_StdVectorPush/100/iterations:30_cv                         53.08 %         54.49 %             3
BM_StdVectorPush/1000/iterations:30_mean                       1278 ns         1278 ns            3
BM_StdVectorPush/1000/iterations:30_median                     1229 ns         1233 ns            3
BM_StdVectorPush/1000/iterations:30_stddev                      242 ns          236 ns            3
BM_StdVectorPush/1000/iterations:30_cv                        18.93 %         18.51 %             3
BM_StdVectorPush/10000/iterations:30_mean                      9179 ns         9178 ns            3
BM_StdVectorPush/10000/iterations:30_median                    8839 ns         8867 ns            3
BM_StdVectorPush/10000/iterations:30_stddev                     590 ns          568 ns            3
BM_StdVectorPush/10000/iterations:30_cv                        6.43 %          6.19 %             3
BM_StdVectorPush/100000/iterations:30_mean                    80677 ns        80322 ns            3
BM_StdVectorPush/100000/iterations:30_median                  81297 ns        81133 ns            3
BM_StdVectorPush/100000/iterations:30_stddev                   3378 ns         2968 ns            3
BM_StdVectorPush/100000/iterations:30_cv                       4.19 %          3.69 %             3
BM_StdVectorPush/1000000/iterations:30_mean                  738192 ns       735878 ns            3
BM_StdVectorPush/1000000/iterations:30_median                729008 ns       727067 ns            3
BM_StdVectorPush/1000000/iterations:30_stddev                 29907 ns        28106 ns            3
BM_StdVectorPush/1000000/iterations:30_cv                      4.05 %          3.82 %             3
BM_StdVectorPush/10000000/iterations:30_mean                8208066 ns      8195100 ns            3
BM_StdVectorPush/10000000/iterations:30_median              8114279 ns      8089567 ns            3
BM_StdVectorPush/10000000/iterations:30_stddev               219271 ns       219347 ns            3
BM_StdVectorPush/10000000/iterations:30_cv                     2.67 %          2.68 %             3
BM_ConstantVectorPush/10/iterations:30_mean                     178 ns          189 ns            3
BM_ConstantVectorPush/10/iterations:30_median                  94.4 ns          100 ns            3
BM_ConstantVectorPush/10/iterations:30_stddev                   153 ns          154 ns            3
BM_ConstantVectorPush/10/iterations:30_cv                     85.97 %         81.51 %             3
