Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2025-12-23T02:34:31+05:30
Running ./benchmark.out
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 1.89, 2.33, 2.61
---------------------------------------------------------------------------------------------------
Benchmark                                                         Time             CPU   Iterations
BM_StdVectorPop/1000000/iterations:30_mean                  2363304 ns      2360489 ns            3
BM_StdVectorPop/1000000/iterations:30_median                2355496 ns      2351433 ns            3
BM_StdVectorPop/1000000/iterations:30_stddev                  37471 ns        37252 ns            3
BM_StdVectorPop/1000000/iterations:30_cv                       1.59 %          1.58 %             3
BM_StdVectorPop/10000000/iterations:30_mean                23543862 ns     23532456 ns            3
BM_StdVectorPop/10000000/iterations:30_median              23519972 ns     23519633 ns            3
BM_StdVectorPop/10000000/iterations:30_stddev                 46979 ns        46900 ns            3
BM_StdVectorPop/10000000/iterations:30_cv                      0.20 %          0.20 %             3
BM_ConstantVectorPop/10/iterations:30_mean                      838 ns          444 ns            3
BM_ConstantVectorPop/10/iterations:30_median                    750 ns          300 ns            3
BM_ConstantVectorPop/10/iterations:30_stddev                    170 ns          340 ns            3
BM_ConstantVectorPop/10/iterations:30_cv                      20.31 %         76.61 %             3
BM_ConstantVectorPop/100/iterations:30_mean                     896 ns          878 ns            3
BM_ConstantVectorPop/100/iterations:30_median                   867 ns          933 ns            3
BM_ConstantVectorPop/100/iterations:30_stddev                  61.2 ns          320 ns            3
BM_ConstantVectorPop/100/iterations:30_cv                      6.83 %         36.49 %             3
BM_ConstantVectorPop/1000/iterations:30_mean                   2215 ns         2344 ns            3
BM_ConstantVectorPop/1000/iterations:30_median                 2196 ns         2433 ns            3
BM_ConstantVectorPop/1000/iterations:30_stddev                 44.1 ns          440 ns            3
BM_ConstantVectorPop/1000/iterations:30_cv                     1.99 %         18.77 %             3
BM_ConstantVectorPop/10000/iterations:30_mean                 14788 ns        14789 ns            3
BM_ConstantVectorPop/10000/iterations:30_median               14735 ns        15033 ns            3
BM_ConstantVectorPop/10000/iterations:30_stddev                 163 ns          543 ns            3
BM_ConstantVectorPop/10000/iterations:30_cv                    1.10 %          3.67 %             3
BM_ConstantVectorPop/100000/iterations:30_mean               142968 ns       142956 ns            3
BM_ConstantVectorPop/100000/iterations:30_median             142340 ns       142333 ns            3
BM_ConstantVectorPop/100000/iterations:30_stddev               2159 ns         2233 ns            3
BM_ConstantVectorPop/100000/iterations:30_cv                   1.51 %          1.56 %             3
BM_ConstantVectorPop/1000000/iterations:30_mean             1406236 ns      1405344 ns            3
BM_ConstantVectorPop/1000000/iterations:30_median           1413067 ns      1410733 ns            3
BM_ConstantVectorPop/1000000/iterations:30_stddev             13226 ns        12550 ns            3
BM_ConstantVectorPop/1000000/iterations:30_cv                  0.94 %          0.89 %             3
BM_ConstantVectorPop/10000000/iterations:30_mean           14109037 ns     14094322 ns            3
BM_ConstantVectorPop/10000000/iterations:30_median         14093108 ns     14081733 ns            3
BM_ConstantVectorPop/10000000/iterations:30_stddev            28069 ns        29041 ns            3
BM_ConstantVectorPop/10000000/iterations:30_cv                 0.20 %          0.21 %             3
BM_StdVectorAccess/10/iterations:30_mean                       53.7 ns         55.6 ns            3
BM_StdVectorAccess/10/iterations:30_median                     48.6 ns         66.7 ns            3
BM_StdVectorAccess/10/iterations:30_stddev                     15.2 ns         50.9 ns            3
BM_StdVectorAccess/10/iterations:30_cv                        28.39 %         91.65 %             3
BM_StdVectorAccess/100/iterations:30_mean                       127 ns          122 ns            3
BM_StdVectorAccess/100/iterations:30_median                     118 ns          100 ns            3
BM_StdVectorAccess/100/iterations:30_stddev                    21.0 ns         38.5 ns            3
BM_StdVectorAccess/100/iterations:30_cv                       16.52 %         31.49 %             3
BM_StdVectorAccess/1000/iterations:30_mean                      948 ns          956 ns            3
BM_StdVectorAccess/1000/iterations:30_median                    919 ns          933 ns            3
BM_StdVectorAccess/1000/iterations:30_stddev                   66.0 ns         69.4 ns            3
BM_StdVectorAccess/1000/iterations:30_cv                       6.96 %          7.26 %             3
BM_StdVectorAccess/10000/iterations:30_mean                    8633 ns         8633 ns            3
BM_StdVectorAccess/10000/iterations:30_median                  8486 ns         8533 ns            3
BM_StdVectorAccess/10000/iterations:30_stddev                   491 ns          491 ns            3
BM_StdVectorAccess/10000/iterations:30_cv                      5.69 %          5.69 %             3
BM_StdVectorAccess/100000/iterations:30_mean                  85375 ns        84944 ns            3
BM_StdVectorAccess/100000/iterations:30_median                85886 ns        85200 ns            3
BM_StdVectorAccess/100000/iterations:30_stddev                  948 ns          562 ns            3
BM_StdVectorAccess/100000/iterations:30_cv                     1.11 %          0.66 %             3
BM_StdVectorAccess/1000000/iterations:30_mean               1156406 ns      1087611 ns            3
BM_StdVectorAccess/1000000/iterations:30_median              878453 ns       864867 ns            3
BM_StdVectorAccess/1000000/iterations:30_stddev              513193 ns       406150 ns            3
BM_StdVectorAccess/1000000/iterations:30_cv                   44.38 %         37.34 %             3
BM_StdVectorAccess/10000000/iterations:30_mean              8435755 ns      8424122 ns            3
BM_StdVectorAccess/10000000/iterations:30_median            8412604 ns      8399367 ns            3
BM_StdVectorAccess/10000000/iterations:30_stddev              86387 ns        81086 ns            3
