Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2025-12-23T02:28:31+05:30
Running ./benchmark.out
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 1.87, 2.95, 2.92
---------------------------------------------------------------------------------------------------
Benchmark                                                         Time             CPU   Iterations
---------------------------------------------------------------------------------------------------
BM_StdVectorPush/10/iterations:30_mean                          306 ns          300 ns            3
BM_StdVectorPush/10/iterations:30_median                        214 ns          200 ns            3
BM_StdVectorPush/10/iterations:30_stddev                        172 ns          173 ns            3
BM_StdVectorPush/10/iterations:30_cv                          56.35 %         57.74 %             3
BM_StdVectorPush/100/iterations:30_mean                         627 ns          644 ns            3
BM_StdVectorPush/100/iterations:30_median                       532 ns          567 ns            3
BM_StdVectorPush/100/iterations:30_stddev                       219 ns          195 ns            3
BM_StdVectorPush/100/iterations:30_cv                         34.90 %         30.31 %             3
BM_StdVectorPush/1000/iterations:30_mean                       3043 ns         3033 ns            3
BM_StdVectorPush/1000/iterations:30_median                     2928 ns         2933 ns            3
BM_StdVectorPush/1000/iterations:30_stddev                      205 ns          203 ns            3
BM_StdVectorPush/1000/iterations:30_cv                         6.73 %          6.68 %             3
BM_StdVectorPush/10000/iterations:30_mean                     26775 ns        26778 ns            3
BM_StdVectorPush/10000/iterations:30_median                   26633 ns        26633 ns            3
BM_StdVectorPush/10000/iterations:30_stddev                     372 ns          372 ns            3
BM_StdVectorPush/10000/iterations:30_cv                        1.39 %          1.39 %             3
BM_StdVectorPush/100000/iterations:30_mean                   258566 ns       258200 ns            3
BM_StdVectorPush/100000/iterations:30_median                 257835 ns       257300 ns            3
BM_StdVectorPush/100000/iterations:30_stddev                   3108 ns         2858 ns            3
BM_StdVectorPush/100000/iterations:30_cv                       1.20 %          1.11 %             3
BM_StdVectorPush/1000000/iterations:30_mean                 2558821 ns      2558222 ns            3
BM_StdVectorPush/1000000/iterations:30_median               2553076 ns      2553067 ns            3
BM_StdVectorPush/1000000/iterations:30_stddev                 10149 ns         9162 ns            3
BM_StdVectorPush/1000000/iterations:30_cv                      0.40 %          0.36 %             3
BM_StdVectorPush/10000000/iterations:30_mean               28185317 ns     28168489 ns            3
BM_StdVectorPush/10000000/iterations:30_median             28147219 ns     28105700 ns            3
BM_StdVectorPush/10000000/iterations:30_stddev               185629 ns       193578 ns            3
BM_StdVectorPush/10000000/iterations:30_cv                     0.66 %          0.69 %             3
BM_ConstantVectorPush/10/iterations:30_mean                     225 ns          244 ns            3
BM_ConstantVectorPush/10/iterations:30_median                   106 ns          133 ns            3
BM_ConstantVectorPush/10/iterations:30_stddev                   220 ns          222 ns            3
BM_ConstantVectorPush/10/iterations:30_cv                     97.88 %         90.80 %             3
BM_ConstantVectorPush/100/iterations:30_mean                    160 ns          144 ns            3
BM_ConstantVectorPush/100/iterations:30_median                  156 ns          133 ns            3
BM_ConstantVectorPush/100/iterations:30_stddev                 14.5 ns         50.9 ns            3
BM_ConstantVectorPush/100/iterations:30_cv                     9.03 %         35.25 %             3
BM_ConstantVectorPush/1000/iterations:30_mean                   815 ns          822 ns            3
BM_ConstantVectorPush/1000/iterations:30_median                 771 ns          800 ns            3
BM_ConstantVectorPush/1000/iterations:30_stddev                96.9 ns          102 ns            3
BM_ConstantVectorPush/1000/iterations:30_cv                   11.88 %         12.39 %             3
BM_ConstantVectorPush/10000/iterations:30_mean                 6200 ns         6211 ns            3
BM_ConstantVectorPush/10000/iterations:30_median               6079 ns         6100 ns            3
BM_ConstantVectorPush/10000/iterations:30_stddev                258 ns          252 ns            3
BM_ConstantVectorPush/10000/iterations:30_cv                   4.17 %          4.06 %             3
BM_ConstantVectorPush/100000/iterations:30_mean               73093 ns        64722 ns            3
BM_ConstantVectorPush/100000/iterations:30_median             69872 ns        63200 ns            3
BM_ConstantVectorPush/100000/iterations:30_stddev              9107 ns         2812 ns            3
BM_ConstantVectorPush/100000/iterations:30_cv                 12.46 %          4.34 %             3
BM_ConstantVectorPush/1000000/iterations:30_mean             594340 ns       591156 ns            3
BM_ConstantVectorPush/1000000/iterations:30_median           591950 ns       591967 ns            3
BM_ConstantVectorPush/1000000/iterations:30_stddev             6602 ns         2389 ns            3
BM_ConstantVectorPush/1000000/iterations:30_cv                 1.11 %          0.40 %             3
BM_ConstantVectorPush/10000000/iterations:30_mean           5965895 ns      5960933 ns            3
BM_ConstantVectorPush/10000000/iterations:30_median         5980914 ns      5979967 ns            3
