Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2025-12-23T02:38:44+05:30
Running ./benchmark.out
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 3.53, 2.59, 2.62
---------------------------------------------------------------------------------------------------
Benchmark                                                         Time             CPU   Iterations
BM_StdVectorPop/1000000/iterations:30_mean                  2352378 ns      2342922 ns            3
BM_StdVectorPop/1000000/iterations:30_median                2358551 ns      2339767 ns            3
BM_StdVectorPop/1000000/iterations:30_stddev                  21053 ns        17646 ns            3
BM_StdVectorPop/1000000/iterations:30_cv                       0.89 %          0.75 %             3
BM_StdVectorPop/10000000/iterations:30_mean                23408789 ns     23297667 ns            3
BM_StdVectorPop/10000000/iterations:30_median              23488889 ns     23283200 ns            3
BM_StdVectorPop/10000000/iterations:30_stddev                187836 ns       115813 ns            3
BM_StdVectorPop/10000000/iterations:30_cv                      0.80 %          0.50 %             3
BM_ConstantVectorPop/10/iterations:30_mean                      819 ns          556 ns            3
BM_ConstantVectorPop/10/iterations:30_median                    729 ns          333 ns            3
BM_ConstantVectorPop/10/iterations:30_stddev                    162 ns          505 ns            3
BM_ConstantVectorPop/10/iterations:30_cv                      19.73 %         90.86 %             3
BM_ConstantVectorPop/100/iterations:30_mean                     926 ns         1256 ns            3
BM_ConstantVectorPop/100/iterations:30_median                   897 ns         1300 ns            3
BM_ConstantVectorPop/100/iterations:30_stddev                  71.1 ns          139 ns            3
BM_ConstantVectorPop/100/iterations:30_cv                      7.68 %         11.05 %             3
BM_ConstantVectorPop/1000/iterations:30_mean                   2275 ns         2056 ns            3
BM_ConstantVectorPop/1000/iterations:30_median                 2215 ns         2167 ns            3
BM_ConstantVectorPop/1000/iterations:30_stddev                  109 ns          347 ns            3
BM_ConstantVectorPop/1000/iterations:30_cv                     4.79 %         16.88 %             3
BM_ConstantVectorPop/10000/iterations:30_mean                 14998 ns        14756 ns            3
BM_ConstantVectorPop/10000/iterations:30_median               15003 ns        14800 ns            3
BM_ConstantVectorPop/10000/iterations:30_stddev                 164 ns          435 ns            3
BM_ConstantVectorPop/10000/iterations:30_cv                    1.09 %          2.95 %             3
BM_ConstantVectorPop/100000/iterations:30_mean               142438 ns       142044 ns            3
BM_ConstantVectorPop/100000/iterations:30_median             141904 ns       141467 ns            3
BM_ConstantVectorPop/100000/iterations:30_stddev               2678 ns         2386 ns            3
BM_ConstantVectorPop/100000/iterations:30_cv                   1.88 %          1.68 %             3
BM_ConstantVectorPop/1000000/iterations:30_mean             1395063 ns      1392389 ns            3
BM_ConstantVectorPop/1000000/iterations:30_median           1394622 ns      1393467 ns            3
BM_ConstantVectorPop/1000000/iterations:30_stddev              3644 ns         3031 ns            3
BM_ConstantVectorPop/1000000/iterations:30_cv                  0.26 %          0.22 %             3
BM_ConstantVectorPop/10000000/iterations:30_mean           13901936 ns     13878022 ns            3
BM_ConstantVectorPop/10000000/iterations:30_median         13907736 ns     13878567 ns            3
BM_ConstantVectorPop/10000000/iterations:30_stddev            23782 ns        18989 ns            3
BM_ConstantVectorPop/10000000/iterations:30_cv                 0.17 %          0.14 %             3
BM_StdVectorAccess/10/iterations:30_mean                       56.0 ns         55.6 ns            3
BM_StdVectorAccess/10/iterations:30_median                     47.2 ns         66.7 ns            3
BM_StdVectorAccess/10/iterations:30_stddev                     18.9 ns         19.2 ns            3
BM_StdVectorAccess/10/iterations:30_cv                        33.81 %         34.64 %             3
BM_StdVectorAccess/100/iterations:30_mean                       129 ns          133 ns            3
BM_StdVectorAccess/100/iterations:30_median                     117 ns          133 ns            3
BM_StdVectorAccess/100/iterations:30_stddev                    21.7 ns        0.000 ns            3
BM_StdVectorAccess/100/iterations:30_cv                       16.76 %          0.00 %             3
BM_StdVectorAccess/1000/iterations:30_mean                      909 ns          889 ns            3
BM_StdVectorAccess/1000/iterations:30_median                    900 ns          900 ns            3
BM_StdVectorAccess/1000/iterations:30_stddev                   74.0 ns         83.9 ns            3
BM_StdVectorAccess/1000/iterations:30_cv                       8.14 %          9.44 %             3
BM_StdVectorAccess/10000/iterations:30_mean                    8197 ns         8178 ns            3
BM_StdVectorAccess/10000/iterations:30_median                  8111 ns         8100 ns            3
BM_StdVectorAccess/10000/iterations:30_stddev                   153 ns          164 ns            3
BM_StdVectorAccess/10000/iterations:30_cv                      1.86 %          2.01 %             3
BM_StdVectorAccess/100000/iterations:30_mean                  82812 ns        82833 ns            3
BM_StdVectorAccess/100000/iterations:30_median                82840 ns        82867 ns            3
BM_StdVectorAccess/100000/iterations:30_stddev                 71.6 ns         88.2 ns            3
BM_StdVectorAccess/100000/iterations:30_cv                     0.09 %          0.11 %             3
BM_StdVectorAccess/1000000/iterations:30_mean                834191 ns       833044 ns            3
BM_StdVectorAccess/1000000/iterations:30_median              836717 ns       834567 ns            3
BM_StdVectorAccess/1000000/iterations:30_stddev                4409 ns         3538 ns            3
BM_StdVectorAccess/1000000/iterations:30_cv                    0.53 %          0.42 %             3
BM_StdVectorAccess/10000000/iterations:30_mean              8416360 ns      8395744 ns            3
BM_StdVectorAccess/10000000/iterations:30_median            8420354 ns      8396200 ns            3
BM_StdVectorAccess/10000000/iterations:30_stddev              15310 ns        10224 ns            3
BM_StdVectorAccess/10000000/iterations:30_cv                   0.18 %          0.12 %             3
BM_ConstantVectorAccess/10/iterations:30_mean                  89.4 ns         77.8 ns            3
BM_ConstantVectorAccess/10/iterations:30_median                54.2 ns         33.3 ns            3
BM_ConstantVectorAccess/10/iterations:30_stddev                70.8 ns         77.0 ns            3
BM_ConstantVectorAccess/10/iterations:30_cv                   79.21 %         98.97 %             3
BM_ConstantVectorAccess/100/iterations:30_mean                  146 ns          133 ns            3
BM_ConstantVectorAccess/100/iterations:30_median                143 ns          133 ns            3
BM_ConstantVectorAccess/100/iterations:30_stddev               15.5 ns         33.3 ns            3
BM_ConstantVectorAccess/100/iterations:30_cv                  10.60 %         25.00 %             3
BM_ConstantVectorAccess/1000/iterations:30_mean                 996 ns          978 ns            3
BM_ConstantVectorAccess/1000/iterations:30_median               989 ns          967 ns            3
BM_ConstantVectorAccess/1000/iterations:30_stddev              14.0 ns         19.2 ns            3
BM_ConstantVectorAccess/1000/iterations:30_cv                  1.41 %          1.97 %             3
BM_ConstantVectorAccess/10000/iterations:30_mean               9770 ns         9678 ns            3
BM_ConstantVectorAccess/10000/iterations:30_median             9544 ns         9533 ns            3
BM_ConstantVectorAccess/10000/iterations:30_stddev              474 ns          340 ns            3
BM_ConstantVectorAccess/10000/iterations:30_cv                 4.85 %          3.52 %             3
BM_ConstantVectorAccess/100000/iterations:30_mean             95875 ns        95767 ns            3
BM_ConstantVectorAccess/100000/iterations:30_median           95818 ns        95833 ns            3
BM_ConstantVectorAccess/100000/iterations:30_stddev             703 ns          536 ns            3
BM_ConstantVectorAccess/100000/iterations:30_cv                0.73 %          0.56 %             3
BM_ConstantVectorAccess/1000000/iterations:30_mean           972114 ns       970922 ns            3
BM_ConstantVectorAccess/1000000/iterations:30_median         966076 ns       964933 ns            3
BM_ConstantVectorAccess/1000000/iterations:30_stddev          15297 ns        15290 ns            3
BM_ConstantVectorAccess/1000000/iterations:30_cv               1.57 %          1.57 %             3
BM_ConstantVectorAccess/10000000/iterations:30_mean         9710897 ns      9693033 ns            3
BM_ConstantVectorAccess/10000000/iterations:30_median       9707854 ns      9692267 ns            3
BM_ConstantVectorAccess/10000000/iterations:30_stddev          6412 ns        12035 ns            3
BM_ConstantVectorAccess/10000000/iterations:30_cv              0.07 %          0.12 %             3
BM_StdVectorIteration/10/iterations:30_mean                    53.2 ns         22.2 ns            3
BM_StdVectorIteration/10/iterations:30_median                  43.1 ns         33.3 ns            3
BM_StdVectorIteration/10/iterations:30_stddev                  25.2 ns         19.2 ns            3
BM_StdVectorIteration/10/iterations:30_cv                     47.34 %         86.60 %             3
BM_StdVectorIteration/100/iterations:30_mean                    102 ns        100.0 ns            3
BM_StdVectorIteration/100/iterations:30_median                 98.6 ns        100.0 ns            3
BM_StdVectorIteration/100/iterations:30_stddev                 14.9 ns        0.000 ns            3
BM_StdVectorIteration/100/iterations:30_cv                    14.58 %          0.00 %             3
BM_StdVectorIteration/1000/iterations:30_mean                   697 ns          700 ns            3
BM_StdVectorIteration/1000/iterations:30_median                 682 ns          700 ns            3
BM_StdVectorIteration/1000/iterations:30_stddev                55.7 ns         33.3 ns            3
BM_StdVectorIteration/1000/iterations:30_cv                    7.99 %          4.76 %             3
BM_StdVectorIteration/10000/iterations:30_mean                 6388 ns         6378 ns            3
BM_StdVectorIteration/10000/iterations:30_median               6285 ns         6300 ns            3
BM_StdVectorIteration/10000/iterations:30_stddev                181 ns          164 ns            3
