Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2025-12-23T01:30:24+05:30
Running ./benchmark.out
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 2.06, 2.51, 3.64
-----------------------------------------------------------------------------------------------------
Benchmark                                                           Time             CPU   Iterations
BM_StdVectorPopShrink/100000/iterations:30_cv                    1.53 %          3.46 %             3
BM_StdVectorPopShrink/1000000/iterations:30_mean                 1576 ns         1556 ns            3
BM_StdVectorPopShrink/1000000/iterations:30_median               1558 ns         1567 ns            3
BM_StdVectorPopShrink/1000000/iterations:30_stddev               47.8 ns         50.9 ns            3
BM_StdVectorPopShrink/1000000/iterations:30_cv                   3.03 %          3.27 %             3
BM_StdVectorPopShrink/10000000/iterations:30_mean                4755 ns         4756 ns            3
BM_StdVectorPopShrink/10000000/iterations:30_median              4583 ns         4700 ns            3
BM_StdVectorPopShrink/10000000/iterations:30_stddev               300 ns          353 ns            3
BM_StdVectorPopShrink/10000000/iterations:30_cv                  6.31 %          7.43 %             3
BM_ConstantVectorPopShrink/10/iterations:30_mean                  779 ns          833 ns            3
BM_ConstantVectorPopShrink/10/iterations:30_median                726 ns          900 ns            3
BM_ConstantVectorPopShrink/10/iterations:30_stddev               97.9 ns          273 ns            3
BM_ConstantVectorPopShrink/10/iterations:30_cv                  12.58 %         32.74 %             3
BM_ConstantVectorPopShrink/100/iterations:30_mean                 826 ns          667 ns            3
BM_ConstantVectorPopShrink/100/iterations:30_median               742 ns          700 ns            3
BM_ConstantVectorPopShrink/100/iterations:30_stddev               147 ns          186 ns            3
BM_ConstantVectorPopShrink/100/iterations:30_cv                 17.76 %         27.84 %             3
BM_ConstantVectorPopShrink/1000/iterations:30_mean               1197 ns         1444 ns            3
BM_ConstantVectorPopShrink/1000/iterations:30_median             1183 ns         1633 ns            3
BM_ConstantVectorPopShrink/1000/iterations:30_stddev             24.5 ns          417 ns            3
BM_ConstantVectorPopShrink/1000/iterations:30_cv                 2.05 %         28.85 %             3
BM_ConstantVectorPopShrink/10000/iterations:30_mean              4801 ns         4911 ns            3
BM_ConstantVectorPopShrink/10000/iterations:30_median            4746 ns         5133 ns            3
BM_ConstantVectorPopShrink/10000/iterations:30_stddev             128 ns          474 ns            3
BM_ConstantVectorPopShrink/10000/iterations:30_cv                2.67 %          9.65 %             3
BM_ConstantVectorPopShrink/100000/iterations:30_mean            40918 ns        40911 ns            3
BM_ConstantVectorPopShrink/100000/iterations:30_median          40721 ns        40667 ns            3
BM_ConstantVectorPopShrink/100000/iterations:30_stddev           1069 ns         1186 ns            3
BM_ConstantVectorPopShrink/100000/iterations:30_cv               2.61 %          2.90 %             3
BM_ConstantVectorPopShrink/1000000/iterations:30_mean          385279 ns       385278 ns            3
BM_ConstantVectorPopShrink/1000000/iterations:30_median        386440 ns       386400 ns            3
BM_ConstantVectorPopShrink/1000000/iterations:30_stddev          2576 ns         2729 ns            3
BM_ConstantVectorPopShrink/1000000/iterations:30_cv              0.67 %          0.71 %             3
BM_ConstantVectorPopShrink/10000000/iterations:30_mean        3870351 ns      3860989 ns            3
BM_ConstantVectorPopShrink/10000000/iterations:30_median      3867606 ns      3858733 ns            3
BM_ConstantVectorPopShrink/10000000/iterations:30_stddev         8232 ns         5633 ns            3
BM_ConstantVectorPopShrink/10000000/iterations:30_cv             0.21 %          0.15 %             3
BM_StdVectorPopNoShrink/10/iterations:30_mean                     767 ns          789 ns            3
BM_StdVectorPopNoShrink/10/iterations:30_median                   747 ns          700 ns            3
BM_StdVectorPopNoShrink/10/iterations:30_stddev                  90.5 ns          342 ns            3
BM_StdVectorPopNoShrink/10/iterations:30_cv                     11.80 %         43.37 %             3
BM_StdVectorPopNoShrink/100/iterations:30_mean                    747 ns          733 ns            3
BM_StdVectorPopNoShrink/100/iterations:30_median                  747 ns          900 ns            3
BM_StdVectorPopNoShrink/100/iterations:30_stddev                 46.6 ns          473 ns            3
BM_StdVectorPopNoShrink/100/iterations:30_cv                     6.24 %         64.44 %             3
BM_StdVectorPopNoShrink/1000/iterations:30_mean                   787 ns          967 ns            3
BM_StdVectorPopNoShrink/1000/iterations:30_median                 700 ns          867 ns            3
BM_StdVectorPopNoShrink/1000/iterations:30_stddev                 154 ns          173 ns            3
BM_StdVectorPopNoShrink/1000/iterations:30_cv                   19.52 %         17.92 %             3
BM_StdVectorPopNoShrink/10000/iterations:30_mean                 1398 ns         1344 ns            3
BM_StdVectorPopNoShrink/10000/iterations:30_median               1224 ns         1267 ns            3
BM_StdVectorPopNoShrink/10000/iterations:30_stddev                340 ns          324 ns            3
BM_StdVectorPopNoShrink/10000/iterations:30_cv                  24.33 %         24.08 %             3
BM_StdVectorPopNoShrink/100000/iterations:30_mean                1604 ns         1667 ns            3
BM_StdVectorPopNoShrink/100000/iterations:30_median              1578 ns         1600 ns            3
BM_StdVectorPopNoShrink/100000/iterations:30_stddev              55.6 ns          115 ns            3
BM_StdVectorPopNoShrink/100000/iterations:30_cv                  3.47 %          6.93 %             3
BM_StdVectorPopNoShrink/1000000/iterations:30_mean               1816 ns         1811 ns            3
BM_StdVectorPopNoShrink/1000000/iterations:30_median             1752 ns         1733 ns            3
BM_StdVectorPopNoShrink/1000000/iterations:30_stddev              242 ns          227 ns            3
BM_StdVectorPopNoShrink/1000000/iterations:30_cv                13.32 %         12.53 %             3
BM_StdVectorPopNoShrink/10000000/iterations:30_mean              5759 ns         5511 ns            3
BM_StdVectorPopNoShrink/10000000/iterations:30_median            5694 ns         5633 ns            3
BM_StdVectorPopNoShrink/10000000/iterations:30_stddev             159 ns          212 ns            3
BM_StdVectorPopNoShrink/10000000/iterations:30_cv                2.76 %          3.84 %             3
BM_ConstantVectorPopNoShrink/10/iterations:30_mean                854 ns          867 ns            3
BM_ConstantVectorPopNoShrink/10/iterations:30_median              910 ns          833 ns            3
BM_ConstantVectorPopNoShrink/10/iterations:30_stddev              101 ns          186 ns            3
BM_ConstantVectorPopNoShrink/10/iterations:30_cv                11.79 %         21.41 %             3
BM_ConstantVectorPopNoShrink/100/iterations:30_mean               787 ns          589 ns            3
BM_ConstantVectorPopNoShrink/100/iterations:30_median             786 ns          567 ns            3
BM_ConstantVectorPopNoShrink/100/iterations:30_stddev            22.2 ns          102 ns            3
BM_ConstantVectorPopNoShrink/100/iterations:30_cv                2.82 %         17.29 %             3
BM_ConstantVectorPopNoShrink/1000/iterations:30_mean             1220 ns         1456 ns            3
BM_ConstantVectorPopNoShrink/1000/iterations:30_median           1164 ns         1433 ns            3
BM_ConstantVectorPopNoShrink/1000/iterations:30_stddev           99.0 ns         69.4 ns            3
BM_ConstantVectorPopNoShrink/1000/iterations:30_cv               8.12 %          4.77 %             3
BM_ConstantVectorPopNoShrink/10000/iterations:30_mean            5376 ns         5300 ns            3
BM_ConstantVectorPopNoShrink/10000/iterations:30_median          5454 ns         5300 ns            3
BM_ConstantVectorPopNoShrink/10000/iterations:30_stddev           164 ns        0.000 ns            3
BM_ConstantVectorPopNoShrink/10000/iterations:30_cv              3.05 %          0.00 %             3
BM_ConstantVectorPopNoShrink/100000/iterations:30_mean          48201 ns        48200 ns            3
BM_ConstantVectorPopNoShrink/100000/iterations:30_median        48156 ns        48133 ns            3
BM_ConstantVectorPopNoShrink/100000/iterations:30_stddev          246 ns          273 ns            3
BM_ConstantVectorPopNoShrink/100000/iterations:30_cv             0.51 %          0.57 %             3
BM_ConstantVectorPopNoShrink/1000000/iterations:30_mean        472304 ns       472300 ns            3
BM_ConstantVectorPopNoShrink/1000000/iterations:30_median      473031 ns       473033 ns            3
BM_ConstantVectorPopNoShrink/1000000/iterations:30_stddev        1409 ns         1387 ns            3
BM_ConstantVectorPopNoShrink/1000000/iterations:30_cv            0.30 %          0.29 %             3
BM_ConstantVectorPopNoShrink/10000000/iterations:30_mean      4709569 ns      4707989 ns            3
BM_ConstantVectorPopNoShrink/10000000/iterations:30_median    4711675 ns      4706900 ns            3
BM_ConstantVectorPopNoShrink/10000000/iterations:30_stddev      15244 ns        15129 ns            3
BM_ConstantVectorPopNoShrink/10000000/iterations:30_cv           0.32 %          0.32 %             3
BM_StdVectorAccess/10/iterations:30_mean                         81.9 ns         77.8 ns            3
BM_StdVectorAccess/10/iterations:30_median                       30.5 ns         33.3 ns            3
BM_StdVectorAccess/10/iterations:30_stddev                       90.2 ns         77.0 ns            3
BM_StdVectorAccess/10/iterations:30_cv                         110.11 %         98.97 %             3
BM_StdVectorAccess/100/iterations:30_mean                        82.9 ns        100.0 ns            3
BM_StdVectorAccess/100/iterations:30_median                      70.8 ns        100.0 ns            3
BM_StdVectorAccess/100/iterations:30_stddev                      22.1 ns         33.3 ns            3
BM_StdVectorAccess/100/iterations:30_cv                         26.61 %         33.33 %             3
BM_StdVectorAccess/1000/iterations:30_mean                        412 ns          422 ns            3
BM_StdVectorAccess/1000/iterations:30_median                      408 ns          433 ns            3
BM_StdVectorAccess/1000/iterations:30_stddev                     6.85 ns         19.2 ns            3
BM_StdVectorAccess/1000/iterations:30_cv                         1.67 %          4.56 %             3
BM_StdVectorAccess/10000/iterations:30_mean                      4121 ns         4100 ns            3
BM_StdVectorAccess/10000/iterations:30_median                    3969 ns         3933 ns            3
BM_StdVectorAccess/10000/iterations:30_stddev                     275 ns          289 ns            3
BM_StdVectorAccess/10000/iterations:30_cv                        6.68 %          7.04 %             3
BM_StdVectorAccess/100000/iterations:30_mean                    40199 ns        40189 ns            3
BM_StdVectorAccess/100000/iterations:30_median                  40286 ns        40300 ns            3
BM_StdVectorAccess/100000/iterations:30_stddev                    222 ns          222 ns            3
BM_StdVectorAccess/100000/iterations:30_cv                       0.55 %          0.55 %             3
BM_StdVectorAccess/1000000/iterations:30_mean                  408140 ns       408122 ns            3
BM_StdVectorAccess/1000000/iterations:30_median                408139 ns       408100 ns            3
BM_StdVectorAccess/1000000/iterations:30_stddev                  1808 ns         1833 ns            3
BM_StdVectorAccess/1000000/iterations:30_cv                      0.44 %          0.45 %             3
BM_StdVectorAccess/10000000/iterations:30_mean                4054560 ns      4054544 ns            3
BM_StdVectorAccess/10000000/iterations:30_median              4049665 ns      4049633 ns            3
BM_StdVectorAccess/10000000/iterations:30_stddev                11021 ns        11051 ns            3
BM_StdVectorAccess/10000000/iterations:30_cv                     0.27 %          0.27 %             3
BM_ConstantVectorAccess/10/iterations:30_mean                    69.4 ns         55.6 ns            3
BM_ConstantVectorAccess/10/iterations:30_median                  47.2 ns         33.3 ns            3
BM_ConstantVectorAccess/10/iterations:30_stddev                  53.6 ns         38.5 ns            3
BM_ConstantVectorAccess/10/iterations:30_cv                     77.18 %         69.28 %             3
BM_ConstantVectorAccess/100/iterations:30_mean                    112 ns          111 ns            3
BM_ConstantVectorAccess/100/iterations:30_median                  110 ns          100 ns            3
BM_ConstantVectorAccess/100/iterations:30_stddev                 12.0 ns         19.2 ns            3
BM_ConstantVectorAccess/100/iterations:30_cv                    10.69 %         17.32 %             3
BM_ConstantVectorAccess/1000/iterations:30_mean                   779 ns          811 ns            3
BM_ConstantVectorAccess/1000/iterations:30_median                 774 ns          800 ns            3
BM_ConstantVectorAccess/1000/iterations:30_stddev                15.2 ns         19.2 ns            3
BM_ConstantVectorAccess/1000/iterations:30_cv                    1.96 %          2.37 %             3
BM_ConstantVectorAccess/10000/iterations:30_mean                 8071 ns         8078 ns            3
BM_ConstantVectorAccess/10000/iterations:30_median               8129 ns         8133 ns            3
BM_ConstantVectorAccess/10000/iterations:30_stddev                147 ns          158 ns            3
BM_ConstantVectorAccess/10000/iterations:30_cv                   1.82 %          1.95 %             3
BM_ConstantVectorAccess/100000/iterations:30_mean               77597 ns        77589 ns            3
BM_ConstantVectorAccess/100000/iterations:30_median             77121 ns        77100 ns            3
BM_ConstantVectorAccess/100000/iterations:30_stddev              1886 ns         1882 ns            3
