Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2025-12-23T02:58:37+05:30
Running ./benchmark.out
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 1.66, 2.23, 2.34
-----------------------------------------------------------------------------------------------------
Benchmark                                                           Time             CPU   Iterations
BM_StdVectorPop/10/iterations:80_stddev                          38.7 ns          292 ns            3
BM_StdVectorPop/10/iterations:80_cv                              4.93 %         35.56 %             3
BM_StdVectorPop/100/iterations:80_mean                           1022 ns          908 ns            3
BM_StdVectorPop/100/iterations:80_median                         1060 ns          987 ns            3
BM_StdVectorPop/100/iterations:80_stddev                         95.5 ns          265 ns            3
BM_StdVectorPop/100/iterations:80_cv                             9.35 %         29.20 %             3
BM_StdVectorPop/1000/iterations:80_mean                          3053 ns         3104 ns            3
BM_StdVectorPop/1000/iterations:80_median                        3040 ns         3125 ns            3
BM_StdVectorPop/1000/iterations:80_stddev                        31.1 ns          344 ns            3
BM_StdVectorPop/1000/iterations:80_cv                            1.02 %         11.09 %             3
BM_StdVectorPop/10000/iterations:80_mean                        25676 ns        25612 ns            3
BM_StdVectorPop/10000/iterations:80_median                      25385 ns        25450 ns            3
BM_StdVectorPop/10000/iterations:80_stddev                        868 ns          794 ns            3
BM_StdVectorPop/10000/iterations:80_cv                           3.38 %          3.10 %             3
BM_StdVectorPop/100000/iterations:80_mean                      241322 ns       240917 ns            3
BM_StdVectorPop/100000/iterations:80_median                    240440 ns       239950 ns            3
BM_StdVectorPop/100000/iterations:80_stddev                      1801 ns         1828 ns            3
BM_StdVectorPop/100000/iterations:80_cv                          0.75 %          0.76 %             3
BM_StdVectorPop/1000000/iterations:80_mean                    2375092 ns      2371138 ns            3
BM_StdVectorPop/1000000/iterations:80_median                  2374413 ns      2369825 ns            3
BM_StdVectorPop/1000000/iterations:80_stddev                     2707 ns         2426 ns            3
BM_StdVectorPop/1000000/iterations:80_cv                         0.11 %          0.10 %             3
BM_StdVectorPop/10000000/iterations:80_mean                  23835839 ns     23691667 ns            3
BM_StdVectorPop/10000000/iterations:80_median                23761070 ns     23674912 ns            3
BM_StdVectorPop/10000000/iterations:80_stddev                  195622 ns        41805 ns            3
BM_StdVectorPop/10000000/iterations:80_cv                        0.82 %          0.18 %             3
BM_StdVectorPop/100000000/iterations:80_mean                236806257 ns    235665937 ns            3
BM_StdVectorPop/100000000/iterations:80_median              236770665 ns    235755650 ns            3
BM_StdVectorPop/100000000/iterations:80_stddev                1437954 ns       703833 ns            3
BM_StdVectorPop/100000000/iterations:80_cv                       0.61 %          0.30 %             3
