Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2025-12-23T02:31:11+05:30
Running ./benchmark.out
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 1.62, 2.46, 2.72
---------------------------------------------------------------------------------------------------
Benchmark                                                         Time             CPU   Iterations
---------------------------------------------------------------------------------------------------
BM_StdVectorPush/10/iterations:30_mean                          408 ns          389 ns            3
BM_StdVectorPush/10/iterations:30_median                        314 ns          300 ns            3
BM_StdVectorPush/10/iterations:30_stddev                        224 ns          214 ns            3
BM_StdVectorPush/10/iterations:30_cv                          54.99 %         55.11 %             3
BM_StdVectorPush/100/iterations:30_mean                         655 ns          656 ns            3
BM_StdVectorPush/100/iterations:30_median                       579 ns          567 ns            3
BM_StdVectorPush/100/iterations:30_stddev                       171 ns          154 ns            3
BM_StdVectorPush/100/iterations:30_cv                         26.17 %         23.49 %             3
BM_StdVectorPush/1000/iterations:30_mean                       2994 ns         2989 ns            3
BM_StdVectorPush/1000/iterations:30_median                     2813 ns         2833 ns            3
BM_StdVectorPush/1000/iterations:30_stddev                      320 ns          299 ns            3
BM_StdVectorPush/1000/iterations:30_cv                        10.68 %         10.00 %             3
BM_StdVectorPush/10000/iterations:30_mean                     27387 ns        27344 ns            3
BM_StdVectorPush/10000/iterations:30_median                   27053 ns        27067 ns            3
BM_StdVectorPush/10000/iterations:30_stddev                     929 ns          851 ns            3
BM_StdVectorPush/10000/iterations:30_cv                        3.39 %          3.11 %             3
BM_StdVectorPush/100000/iterations:30_mean                   265346 ns       264167 ns            3
BM_StdVectorPush/100000/iterations:30_median                 264343 ns       264033 ns            3
BM_StdVectorPush/100000/iterations:30_stddev                   3575 ns         2236 ns            3
BM_StdVectorPush/100000/iterations:30_cv                       1.35 %          0.85 %             3
BM_StdVectorPush/1000000/iterations:30_mean                 2620936 ns      2613311 ns            3
BM_StdVectorPush/1000000/iterations:30_median               2634911 ns      2621733 ns            3
BM_StdVectorPush/1000000/iterations:30_stddev                 33360 ns        30712 ns            3
BM_StdVectorPush/1000000/iterations:30_cv                      1.27 %          1.18 %             3
BM_StdVectorPush/10000000/iterations:30_mean               27713350 ns     27385878 ns            3
BM_StdVectorPush/10000000/iterations:30_median             27745165 ns     27258467 ns            3
BM_StdVectorPush/10000000/iterations:30_stddev               465446 ns       253972 ns            3
BM_StdVectorPush/10000000/iterations:30_cv                     1.68 %          0.93 %             3
BM_ConstantVectorPush/10/iterations:30_mean                     318 ns          344 ns            3
BM_ConstantVectorPush/10/iterations:30_median                   110 ns          133 ns            3
BM_ConstantVectorPush/10/iterations:30_stddev                   361 ns          366 ns            3
BM_ConstantVectorPush/10/iterations:30_cv                    113.75 %        106.16 %             3
BM_ConstantVectorPush/100/iterations:30_mean                    212 ns          200 ns            3
BM_ConstantVectorPush/100/iterations:30_median                  214 ns          233 ns            3
BM_ConstantVectorPush/100/iterations:30_stddev                 21.5 ns         57.7 ns            3
BM_ConstantVectorPush/100/iterations:30_cv                    10.14 %         28.87 %             3
BM_ConstantVectorPush/1000/iterations:30_mean                  1265 ns         1267 ns            3
BM_ConstantVectorPush/1000/iterations:30_median                1258 ns         1267 ns            3
BM_ConstantVectorPush/1000/iterations:30_stddev                 198 ns          167 ns            3
BM_ConstantVectorPush/1000/iterations:30_cv                   15.65 %         13.16 %             3
BM_ConstantVectorPush/10000/iterations:30_mean                 9546 ns         9533 ns            3
BM_ConstantVectorPush/10000/iterations:30_median               9419 ns         9433 ns            3
BM_ConstantVectorPush/10000/iterations:30_stddev                311 ns          296 ns            3
BM_ConstantVectorPush/10000/iterations:30_cv                   3.26 %          3.11 %             3
BM_ConstantVectorPush/100000/iterations:30_mean               92042 ns        92033 ns            3
BM_ConstantVectorPush/100000/iterations:30_median             91447 ns        91433 ns            3
BM_ConstantVectorPush/100000/iterations:30_stddev              1653 ns         1651 ns            3
BM_ConstantVectorPush/100000/iterations:30_cv                  1.80 %          1.79 %             3
BM_ConstantVectorPush/1000000/iterations:30_mean             913154 ns       912533 ns            3
BM_ConstantVectorPush/1000000/iterations:30_median           913238 ns       912133 ns            3
BM_ConstantVectorPush/1000000/iterations:30_stddev             3048 ns         3451 ns            3
BM_ConstantVectorPush/1000000/iterations:30_cv                 0.33 %          0.38 %             3
BM_ConstantVectorPush/10000000/iterations:30_mean           9038812 ns      9025211 ns            3
BM_ConstantVectorPush/10000000/iterations:30_median         9038474 ns      9027433 ns            3
BM_ConstantVectorPush/10000000/iterations:30_stddev           44050 ns        39181 ns            3
BM_ConstantVectorPush/10000000/iterations:30_cv                0.49 %          0.43 %             3
BM_StdVectorPop/10/iterations:30_mean                           807 ns          967 ns            3
BM_StdVectorPop/10/iterations:30_median                         789 ns          867 ns            3
BM_StdVectorPop/10/iterations:30_stddev                        67.0 ns          173 ns            3
BM_StdVectorPop/10/iterations:30_cv                            8.30 %         17.92 %             3
BM_StdVectorPop/100/iterations:30_mean                         1015 ns          944 ns            3
BM_StdVectorPop/100/iterations:30_median                       1024 ns          967 ns            3
BM_StdVectorPop/100/iterations:30_stddev                       34.0 ns          301 ns            3
BM_StdVectorPop/100/iterations:30_cv                           3.35 %         31.83 %             3
BM_StdVectorPop/1000/iterations:30_mean                        3227 ns         3056 ns            3
BM_StdVectorPop/1000/iterations:30_median                      3190 ns         2933 ns            3
BM_StdVectorPop/1000/iterations:30_stddev                      74.4 ns          212 ns            3
BM_StdVectorPop/1000/iterations:30_cv                          2.31 %          6.93 %             3
BM_StdVectorPop/10000/iterations:30_mean                      26410 ns        26456 ns            3
BM_StdVectorPop/10000/iterations:30_median                    26461 ns        26533 ns            3
BM_StdVectorPop/10000/iterations:30_stddev                      299 ns          227 ns            3
BM_StdVectorPop/10000/iterations:30_cv                         1.13 %          0.86 %             3
BM_StdVectorPop/100000/iterations:30_mean                    255628 ns       255700 ns            3
BM_StdVectorPop/100000/iterations:30_median                  257440 ns       257500 ns            3
BM_StdVectorPop/100000/iterations:30_stddev                    3833 ns         3954 ns            3
BM_StdVectorPop/100000/iterations:30_cv                        1.50 %          1.55 %             3
BM_StdVectorPop/1000000/iterations:30_mean                  2526686 ns      2522556 ns            3
BM_StdVectorPop/1000000/iterations:30_median                2534601 ns      2529733 ns            3
BM_StdVectorPop/1000000/iterations:30_stddev                  17647 ns        16515 ns            3
BM_StdVectorPop/1000000/iterations:30_cv                       0.70 %          0.65 %             3
BM_StdVectorPop/10000000/iterations:30_mean                25462707 ns     25429989 ns            3
BM_StdVectorPop/10000000/iterations:30_median              25520118 ns     25479900 ns            3
BM_StdVectorPop/10000000/iterations:30_stddev                132861 ns       116143 ns            3
BM_StdVectorPop/10000000/iterations:30_cv                      0.52 %          0.46 %             3
BM_ConstantVectorPop/10/iterations:30_mean                     1102 ns         1189 ns            3
BM_ConstantVectorPop/10/iterations:30_median                   1210 ns         1467 ns            3
BM_ConstantVectorPop/10/iterations:30_stddev                    314 ns          570 ns            3
BM_ConstantVectorPop/10/iterations:30_cv                      28.46 %         47.94 %             3
BM_ConstantVectorPop/100/iterations:30_mean                     918 ns          978 ns            3
BM_ConstantVectorPop/100/iterations:30_median                   883 ns         1033 ns            3
BM_ConstantVectorPop/100/iterations:30_stddev                  66.7 ns          486 ns            3
BM_ConstantVectorPop/100/iterations:30_cv                      7.26 %         49.68 %             3
BM_ConstantVectorPop/1000/iterations:30_mean                   1962 ns         1711 ns            3
BM_ConstantVectorPop/1000/iterations:30_median                 1953 ns         1800 ns            3
BM_ConstantVectorPop/1000/iterations:30_stddev                 28.2 ns          214 ns            3
BM_ConstantVectorPop/1000/iterations:30_cv                     1.44 %         12.52 %             3
BM_ConstantVectorPop/10000/iterations:30_mean                 13090 ns        13278 ns            3
BM_ConstantVectorPop/10000/iterations:30_median               12903 ns        13233 ns            3
BM_ConstantVectorPop/10000/iterations:30_stddev                 478 ns          139 ns            3
BM_ConstantVectorPop/10000/iterations:30_cv                    3.65 %          1.05 %             3
BM_ConstantVectorPop/100000/iterations:30_mean               127119 ns       127111 ns            3
BM_ConstantVectorPop/100000/iterations:30_median             128212 ns       128067 ns            3
BM_ConstantVectorPop/100000/iterations:30_stddev               3251 ns         3338 ns            3
BM_ConstantVectorPop/100000/iterations:30_cv                   2.56 %          2.63 %             3
BM_ConstantVectorPop/1000000/iterations:30_mean             1344736 ns      1343744 ns            3
BM_ConstantVectorPop/1000000/iterations:30_median           1342001 ns      1340733 ns            3
BM_ConstantVectorPop/1000000/iterations:30_stddev             10886 ns        10286 ns            3
BM_ConstantVectorPop/1000000/iterations:30_cv                  0.81 %          0.77 %             3
BM_ConstantVectorPop/10000000/iterations:30_mean           14034582 ns     14000589 ns            3
BM_ConstantVectorPop/10000000/iterations:30_median         14206969 ns     14134800 ns            3
BM_ConstantVectorPop/10000000/iterations:30_stddev           301979 ns       283109 ns            3
BM_ConstantVectorPop/10000000/iterations:30_cv                 2.15 %          2.02 %             3
BM_StdVectorAccess/10/iterations:30_mean                       41.2 ns         44.4 ns            3
BM_StdVectorAccess/10/iterations:30_median                     33.3 ns         33.3 ns            3
BM_StdVectorAccess/10/iterations:30_stddev                     14.8 ns         19.2 ns            3
BM_StdVectorAccess/10/iterations:30_cv                        36.03 %         43.30 %             3
BM_StdVectorAccess/100/iterations:30_mean                       141 ns          122 ns            3
BM_StdVectorAccess/100/iterations:30_median                     129 ns          133 ns            3
BM_StdVectorAccess/100/iterations:30_stddev                    30.2 ns         50.9 ns            3
BM_StdVectorAccess/100/iterations:30_cv                       21.45 %         41.66 %             3
BM_StdVectorAccess/1000/iterations:30_mean                      934 ns          944 ns            3
BM_StdVectorAccess/1000/iterations:30_median                    931 ns          967 ns            3
BM_StdVectorAccess/1000/iterations:30_stddev                   93.1 ns          102 ns            3
BM_StdVectorAccess/1000/iterations:30_cv                       9.97 %         10.78 %             3
BM_StdVectorAccess/10000/iterations:30_mean                    8123 ns         8111 ns            3
BM_StdVectorAccess/10000/iterations:30_median                  8124 ns         8100 ns            3
BM_StdVectorAccess/10000/iterations:30_stddev                  7.00 ns         19.2 ns            3
BM_StdVectorAccess/10000/iterations:30_cv                      0.09 %          0.24 %             3
BM_StdVectorAccess/100000/iterations:30_mean                  83774 ns        83589 ns            3
BM_StdVectorAccess/100000/iterations:30_median                83965 ns        83700 ns            3
BM_StdVectorAccess/100000/iterations:30_stddev                  519 ns          347 ns            3
BM_StdVectorAccess/100000/iterations:30_cv                     0.62 %          0.42 %             3
BM_StdVectorAccess/1000000/iterations:30_mean                847100 ns       846711 ns            3
BM_StdVectorAccess/1000000/iterations:30_median              847974 ns       847900 ns            3
