Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2025-12-23T01:50:37+05:30
Running ./benchmark.out
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 3.13, 2.37, 2.58
---------------------------------------------------------------------------------------------------
Benchmark                                                         Time             CPU   Iterations
BM_StdVectorPop/1000000/iterations:30_median                   1662 ns         1733 ns            3
BM_StdVectorPop/1000000/iterations:30_stddev                    257 ns          222 ns            3
BM_StdVectorPop/1000000/iterations:30_cv                      16.08 %         13.68 %             3
BM_StdVectorPop/10000000/iterations:30_mean                    4721 ns         4556 ns            3
BM_StdVectorPop/10000000/iterations:30_median                  4626 ns         4567 ns            3
BM_StdVectorPop/10000000/iterations:30_stddev                   178 ns          117 ns            3
BM_StdVectorPop/10000000/iterations:30_cv                      3.76 %          2.57 %             3
BM_ConstantVectorPop/10/iterations:30_mean                      780 ns          900 ns            3
BM_ConstantVectorPop/10/iterations:30_median                    732 ns          933 ns            3
BM_ConstantVectorPop/10/iterations:30_stddev                   96.1 ns          186 ns            3
BM_ConstantVectorPop/10/iterations:30_cv                      12.32 %         20.62 %             3
BM_ConstantVectorPop/100/iterations:30_mean                     840 ns          656 ns            3
BM_ConstantVectorPop/100/iterations:30_median                   817 ns          600 ns            3
BM_ConstantVectorPop/100/iterations:30_stddev                  50.8 ns          190 ns            3
BM_ConstantVectorPop/100/iterations:30_cv                      6.05 %         28.91 %             3
BM_ConstantVectorPop/1000/iterations:30_mean                   1655 ns         1678 ns            3
BM_ConstantVectorPop/1000/iterations:30_median                 1607 ns         1667 ns            3
BM_ConstantVectorPop/1000/iterations:30_stddev                 98.6 ns          617 ns            3
BM_ConstantVectorPop/1000/iterations:30_cv                     5.96 %         36.76 %             3
BM_ConstantVectorPop/10000/iterations:30_mean                  9292 ns         9533 ns            3
BM_ConstantVectorPop/10000/iterations:30_median                9200 ns         9567 ns            3
BM_ConstantVectorPop/10000/iterations:30_stddev                 185 ns          219 ns            3
BM_ConstantVectorPop/10000/iterations:30_cv                    1.99 %          2.29 %             3
BM_ConstantVectorPop/100000/iterations:30_mean                84901 ns        84944 ns            3
BM_ConstantVectorPop/100000/iterations:30_median              85115 ns        85167 ns            3
BM_ConstantVectorPop/100000/iterations:30_stddev               1389 ns         1314 ns            3
BM_ConstantVectorPop/100000/iterations:30_cv                   1.64 %          1.55 %             3
BM_ConstantVectorPop/1000000/iterations:30_mean              831924 ns       831911 ns            3
BM_ConstantVectorPop/1000000/iterations:30_median            831907 ns       831933 ns            3
BM_ConstantVectorPop/1000000/iterations:30_stddev               931 ns          934 ns            3
BM_ConstantVectorPop/1000000/iterations:30_cv                  0.11 %          0.11 %             3
