Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2025-12-23T01:52:53+05:30
Running ./benchmark.out
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 2.56, 2.49, 2.60
---------------------------------------------------------------------------------------------------
Benchmark                                                         Time             CPU   Iterations
---------------------------------------------------------------------------------------------------
BM_StdVectorPush/10/iterations:30_mean                          422 ns          389 ns            3
BM_StdVectorPush/10/iterations:30_median                        467 ns          467 ns            3
BM_StdVectorPush/10/iterations:30_stddev                        200 ns          164 ns            3
BM_StdVectorPush/10/iterations:30_cv                          47.27 %         42.28 %             3
BM_StdVectorPush/100/iterations:30_mean                         540 ns          544 ns            3
BM_StdVectorPush/100/iterations:30_median                       450 ns          467 ns            3
BM_StdVectorPush/100/iterations:30_stddev                       221 ns          227 ns            3
BM_StdVectorPush/100/iterations:30_cv                         40.96 %         41.67 %             3
BM_StdVectorPush/1000/iterations:30_mean                       1333 ns         1322 ns            3
BM_StdVectorPush/1000/iterations:30_median                     1236 ns         1233 ns            3
BM_StdVectorPush/1000/iterations:30_stddev                      329 ns          310 ns            3
BM_StdVectorPush/1000/iterations:30_cv                        24.68 %         23.42 %             3
BM_StdVectorPush/10000/iterations:30_mean                      9567 ns         9556 ns            3
BM_StdVectorPush/10000/iterations:30_median                    9615 ns         9600 ns            3
BM_StdVectorPush/10000/iterations:30_stddev                     177 ns          171 ns            3
BM_StdVectorPush/10000/iterations:30_cv                        1.85 %          1.79 %             3
BM_StdVectorPush/100000/iterations:30_mean                    79519 ns        78833 ns            3
BM_StdVectorPush/100000/iterations:30_median                  81240 ns        79933 ns            3
BM_StdVectorPush/100000/iterations:30_stddev                   3660 ns         3100 ns            3
BM_StdVectorPush/100000/iterations:30_cv                       4.60 %          3.93 %             3
BM_StdVectorPush/1000000/iterations:30_mean                  762118 ns       752811 ns            3
BM_StdVectorPush/1000000/iterations:30_median                733283 ns       725600 ns            3
BM_StdVectorPush/1000000/iterations:30_stddev                 61358 ns        58140 ns            3
BM_StdVectorPush/1000000/iterations:30_cv                      8.05 %          7.72 %             3
BM_StdVectorPush/10000000/iterations:30_mean                8173288 ns      8140633 ns            3
BM_StdVectorPush/10000000/iterations:30_median              8017764 ns      8011900 ns            3
BM_StdVectorPush/10000000/iterations:30_stddev               274635 ns       264298 ns            3
BM_StdVectorPush/10000000/iterations:30_cv                     3.36 %          3.25 %             3
BM_ConstantVectorPush/10/iterations:30_mean                     269 ns          267 ns            3
BM_ConstantVectorPush/10/iterations:30_median                   122 ns          133 ns            3
BM_ConstantVectorPush/10/iterations:30_stddev                   271 ns          260 ns            3
BM_ConstantVectorPush/10/iterations:30_cv                    100.50 %         97.63 %             3
BM_ConstantVectorPush/100/iterations:30_mean                    157 ns          133 ns            3
BM_ConstantVectorPush/100/iterations:30_median                  147 ns          133 ns            3
BM_ConstantVectorPush/100/iterations:30_stddev                 24.4 ns         33.3 ns            3
BM_ConstantVectorPush/100/iterations:30_cv                    15.56 %         25.00 %             3
BM_ConstantVectorPush/1000/iterations:30_mean                   812 ns          800 ns            3
BM_ConstantVectorPush/1000/iterations:30_median                 815 ns          833 ns            3
BM_ConstantVectorPush/1000/iterations:30_stddev                 115 ns          120 ns            3
BM_ConstantVectorPush/1000/iterations:30_cv                   14.21 %         15.02 %             3
BM_ConstantVectorPush/10000/iterations:30_mean                 4392 ns         4400 ns            3
BM_ConstantVectorPush/10000/iterations:30_median               4271 ns         4300 ns            3
BM_ConstantVectorPush/10000/iterations:30_stddev                245 ns          233 ns            3
BM_ConstantVectorPush/10000/iterations:30_cv                   5.58 %          5.30 %             3
BM_ConstantVectorPush/100000/iterations:30_mean               43374 ns        43222 ns            3
BM_ConstantVectorPush/100000/iterations:30_median             43715 ns        43600 ns            3
BM_ConstantVectorPush/100000/iterations:30_stddev               834 ns          683 ns            3
BM_ConstantVectorPush/100000/iterations:30_cv                  1.92 %          1.58 %             3
BM_ConstantVectorPush/1000000/iterations:30_mean             414903 ns       414011 ns            3
BM_ConstantVectorPush/1000000/iterations:30_median           415399 ns       414733 ns            3
BM_ConstantVectorPush/1000000/iterations:30_stddev             1602 ns         2367 ns            3
BM_ConstantVectorPush/1000000/iterations:30_cv                 0.39 %          0.57 %             3
BM_ConstantVectorPush/10000000/iterations:30_mean           4381317 ns      4063789 ns            3
BM_ConstantVectorPush/10000000/iterations:30_median         4089024 ns      4076400 ns            3
BM_ConstantVectorPush/10000000/iterations:30_stddev          515942 ns        26020 ns            3
BM_ConstantVectorPush/10000000/iterations:30_cv               11.78 %          0.64 %             3
BM_StdVectorPop/10/iterations:30_mean                           830 ns          622 ns            3
BM_StdVectorPop/10/iterations:30_median                         817 ns          667 ns            3
BM_StdVectorPop/10/iterations:30_stddev                        98.6 ns          107 ns            3
BM_StdVectorPop/10/iterations:30_cv                           11.88 %         17.22 %             3
BM_StdVectorPop/100/iterations:30_mean                          768 ns          656 ns            3
BM_StdVectorPop/100/iterations:30_median                        713 ns          933 ns            3
BM_StdVectorPop/100/iterations:30_stddev                        103 ns          481 ns            3
BM_StdVectorPop/100/iterations:30_cv                          13.37 %         73.39 %             3
BM_StdVectorPop/1000/iterations:30_mean                         751 ns          800 ns            3
BM_StdVectorPop/1000/iterations:30_median                       707 ns          967 ns            3
BM_StdVectorPop/1000/iterations:30_stddev                      79.4 ns          289 ns            3
BM_StdVectorPop/1000/iterations:30_cv                         10.57 %         36.08 %             3
BM_StdVectorPop/10000/iterations:30_mean                       1213 ns         1222 ns            3
BM_StdVectorPop/10000/iterations:30_median                     1189 ns         1267 ns            3
BM_StdVectorPop/10000/iterations:30_stddev                     58.8 ns         77.0 ns            3
BM_StdVectorPop/10000/iterations:30_cv                         4.85 %          6.30 %             3
BM_StdVectorPop/100000/iterations:30_mean                      1585 ns         1433 ns            3
BM_StdVectorPop/100000/iterations:30_median                    1567 ns         1633 ns            3
BM_StdVectorPop/100000/iterations:30_stddev                    67.2 ns          376 ns            3
BM_StdVectorPop/100000/iterations:30_cv                        4.24 %         26.21 %             3
BM_StdVectorPop/1000000/iterations:30_mean                     1285 ns         1400 ns            3
BM_StdVectorPop/1000000/iterations:30_median                   1344 ns         1400 ns            3
BM_StdVectorPop/1000000/iterations:30_stddev                    125 ns          267 ns            3
BM_StdVectorPop/1000000/iterations:30_cv                       9.71 %         19.05 %             3
BM_StdVectorPop/10000000/iterations:30_mean                    5407 ns         5144 ns            3
BM_StdVectorPop/10000000/iterations:30_median                  5674 ns         5300 ns            3
BM_StdVectorPop/10000000/iterations:30_stddev                   473 ns          299 ns            3
BM_StdVectorPop/10000000/iterations:30_cv                      8.75 %          5.81 %             3
BM_ConstantVectorPop/10/iterations:30_mean                      819 ns          822 ns            3
BM_ConstantVectorPop/10/iterations:30_median                    728 ns          867 ns            3
BM_ConstantVectorPop/10/iterations:30_stddev                    157 ns          204 ns            3
BM_ConstantVectorPop/10/iterations:30_cv                      19.20 %         24.77 %             3
BM_ConstantVectorPop/100/iterations:30_mean                     750 ns          644 ns            3
BM_ConstantVectorPop/100/iterations:30_median                   724 ns          533 ns            3
BM_ConstantVectorPop/100/iterations:30_stddev                  47.6 ns          476 ns            3
BM_ConstantVectorPop/100/iterations:30_cv                      6.34 %         73.94 %             3
BM_ConstantVectorPop/1000/iterations:30_mean                    771 ns          711 ns            3
BM_ConstantVectorPop/1000/iterations:30_median                  751 ns          733 ns            3
BM_ConstantVectorPop/1000/iterations:30_stddev                 38.2 ns          168 ns            3
BM_ConstantVectorPop/1000/iterations:30_cv                     4.96 %         23.59 %             3
BM_ConstantVectorPop/10000/iterations:30_mean                   906 ns          556 ns            3
BM_ConstantVectorPop/10000/iterations:30_median                 885 ns          567 ns            3
BM_ConstantVectorPop/10000/iterations:30_stddev                57.8 ns         50.9 ns            3
BM_ConstantVectorPop/10000/iterations:30_cv                    6.38 %          9.17 %             3
BM_ConstantVectorPop/100000/iterations:30_mean                 2435 ns         2422 ns            3
BM_ConstantVectorPop/100000/iterations:30_median               2442 ns         2433 ns            3
BM_ConstantVectorPop/100000/iterations:30_stddev               30.5 ns          184 ns            3
BM_ConstantVectorPop/100000/iterations:30_cv                   1.25 %          7.58 %             3
BM_ConstantVectorPop/1000000/iterations:30_mean                4265 ns         4411 ns            3
BM_ConstantVectorPop/1000000/iterations:30_median              4171 ns         4367 ns            3
BM_ConstantVectorPop/1000000/iterations:30_stddev               326 ns          269 ns            3
BM_ConstantVectorPop/1000000/iterations:30_cv                  7.65 %          6.11 %             3
BM_ConstantVectorPop/10000000/iterations:30_mean               8040 ns         7967 ns            3
BM_ConstantVectorPop/10000000/iterations:30_median             7928 ns         7700 ns            3
BM_ConstantVectorPop/10000000/iterations:30_stddev              549 ns          581 ns            3
BM_ConstantVectorPop/10000000/iterations:30_cv                 6.83 %          7.30 %             3
BM_StdVectorAccess/10/iterations:30_mean                       69.0 ns         66.7 ns            3
BM_StdVectorAccess/10/iterations:30_median                     33.3 ns         33.3 ns            3
BM_StdVectorAccess/10/iterations:30_stddev                     61.7 ns         57.7 ns            3
BM_StdVectorAccess/10/iterations:30_cv                        89.50 %         86.60 %             3
BM_StdVectorAccess/100/iterations:30_mean                      75.5 ns         66.7 ns            3
BM_StdVectorAccess/100/iterations:30_median                    68.0 ns         66.7 ns            3
BM_StdVectorAccess/100/iterations:30_stddev                    14.1 ns         33.3 ns            3
BM_StdVectorAccess/100/iterations:30_cv                       18.62 %         50.00 %             3
BM_StdVectorAccess/1000/iterations:30_mean                      416 ns          411 ns            3
BM_StdVectorAccess/1000/iterations:30_median                    411 ns          433 ns            3
BM_StdVectorAccess/1000/iterations:30_stddev                   10.5 ns         38.5 ns            3
BM_StdVectorAccess/1000/iterations:30_cv                       2.53 %          9.36 %             3
BM_StdVectorAccess/10000/iterations:30_mean                    4005 ns         4000 ns            3
BM_StdVectorAccess/10000/iterations:30_median                  3961 ns         3967 ns            3
BM_StdVectorAccess/10000/iterations:30_stddev                  87.7 ns         88.2 ns            3
BM_StdVectorAccess/10000/iterations:30_cv                      2.19 %          2.20 %             3
BM_StdVectorAccess/100000/iterations:30_mean                  40643 ns        40656 ns            3
BM_StdVectorAccess/100000/iterations:30_median                40776 ns        40800 ns            3
BM_StdVectorAccess/100000/iterations:30_stddev                  248 ns          250 ns            3
BM_StdVectorAccess/100000/iterations:30_cv                     0.61 %          0.62 %             3
BM_StdVectorAccess/1000000/iterations:30_mean                398590 ns       398578 ns            3
BM_StdVectorAccess/1000000/iterations:30_median              398571 ns       398567 ns            3
BM_StdVectorAccess/1000000/iterations:30_stddev                 294 ns          283 ns            3
BM_StdVectorAccess/1000000/iterations:30_cv                    0.07 %          0.07 %             3
BM_StdVectorAccess/10000000/iterations:30_mean              4010647 ns      4010633 ns            3
BM_StdVectorAccess/10000000/iterations:30_median            4002489 ns      4002467 ns            3
BM_StdVectorAccess/10000000/iterations:30_stddev              18600 ns        18613 ns            3
BM_StdVectorAccess/10000000/iterations:30_cv                   0.46 %          0.46 %             3
BM_ConstantVectorAccess/10/iterations:30_mean                  75.9 ns         88.9 ns            3
BM_ConstantVectorAccess/10/iterations:30_median                41.7 ns         66.7 ns            3
BM_ConstantVectorAccess/10/iterations:30_stddev                64.2 ns         69.4 ns            3
BM_ConstantVectorAccess/10/iterations:30_cv                   84.57 %         78.06 %             3
BM_ConstantVectorAccess/100/iterations:30_mean                  111 ns        100.0 ns            3
BM_ConstantVectorAccess/100/iterations:30_median                110 ns        100.0 ns            3
BM_ConstantVectorAccess/100/iterations:30_stddev               6.37 ns        0.000 ns            3
BM_ConstantVectorAccess/100/iterations:30_cv                   5.73 %          0.00 %             3
BM_ConstantVectorAccess/1000/iterations:30_mean                 776 ns          789 ns            3
BM_ConstantVectorAccess/1000/iterations:30_median               776 ns          800 ns            3
BM_ConstantVectorAccess/1000/iterations:30_stddev              9.04 ns         19.2 ns            3
BM_ConstantVectorAccess/1000/iterations:30_cv                  1.17 %          2.44 %             3
BM_ConstantVectorAccess/10000/iterations:30_mean               7659 ns         7644 ns            3
BM_ConstantVectorAccess/10000/iterations:30_median             7696 ns         7667 ns            3
BM_ConstantVectorAccess/10000/iterations:30_stddev             76.5 ns         69.4 ns            3
BM_ConstantVectorAccess/10000/iterations:30_cv                 1.00 %          0.91 %             3
BM_ConstantVectorAccess/100000/iterations:30_mean             77014 ns        77022 ns            3
BM_ConstantVectorAccess/100000/iterations:30_median           76696 ns        76700 ns            3
BM_ConstantVectorAccess/100000/iterations:30_stddev            1640 ns         1641 ns            3
BM_ConstantVectorAccess/100000/iterations:30_cv                2.13 %          2.13 %             3
BM_ConstantVectorAccess/1000000/iterations:30_mean           767631 ns       767633 ns            3
BM_ConstantVectorAccess/1000000/iterations:30_median         768838 ns       768833 ns            3
BM_ConstantVectorAccess/1000000/iterations:30_stddev           4403 ns         4424 ns            3
