Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2025-12-23T01:44:05+05:30
Running ./benchmark.out
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 2.70, 2.52, 2.82
---------------------------------------------------------------------------------------------------
Benchmark                                                         Time             CPU   Iterations
---------------------------------------------------------------------------------------------------
BM_StdVectorPush/10/iterations:30_mean                          384 ns          378 ns            3
BM_StdVectorPush/10/iterations:30_median                        339 ns          400 ns            3
BM_StdVectorPush/10/iterations:30_stddev                        142 ns          135 ns            3
BM_StdVectorPush/10/iterations:30_cv                          37.06 %         35.66 %             3
BM_StdVectorPush/100/iterations:30_mean                         581 ns          567 ns            3
BM_StdVectorPush/100/iterations:30_median                       401 ns          367 ns            3
BM_StdVectorPush/100/iterations:30_stddev                       357 ns          376 ns            3
BM_StdVectorPush/100/iterations:30_cv                         61.37 %         66.29 %             3
BM_StdVectorPush/1000/iterations:30_mean                       1230 ns         1222 ns            3
BM_StdVectorPush/1000/iterations:30_median                     1076 ns         1067 ns            3
BM_StdVectorPush/1000/iterations:30_stddev                      278 ns          269 ns            3
BM_StdVectorPush/1000/iterations:30_cv                        22.57 %         22.04 %             3
BM_StdVectorPush/10000/iterations:30_mean                      9320 ns         9322 ns            3
BM_StdVectorPush/10000/iterations:30_median                    9200 ns         9200 ns            3
BM_StdVectorPush/10000/iterations:30_stddev                     363 ns          366 ns            3
BM_StdVectorPush/10000/iterations:30_cv                        3.89 %          3.92 %             3
BM_StdVectorPush/100000/iterations:30_mean                    79227 ns        79033 ns            3
BM_StdVectorPush/100000/iterations:30_median                  79081 ns        78467 ns            3
BM_StdVectorPush/100000/iterations:30_stddev                   1683 ns         1721 ns            3
BM_StdVectorPush/100000/iterations:30_cv                       2.12 %          2.18 %             3
BM_StdVectorPush/1000000/iterations:30_mean                  749519 ns       747944 ns            3
BM_StdVectorPush/1000000/iterations:30_median                736769 ns       736200 ns            3
BM_StdVectorPush/1000000/iterations:30_stddev                 43902 ns        42065 ns            3
BM_StdVectorPush/1000000/iterations:30_cv                      5.86 %          5.62 %             3
BM_StdVectorPush/10000000/iterations:30_mean                8184359 ns      8176944 ns            3
BM_StdVectorPush/10000000/iterations:30_median              8099519 ns      8095700 ns            3
BM_StdVectorPush/10000000/iterations:30_stddev               175154 ns       165712 ns            3
BM_StdVectorPush/10000000/iterations:30_cv                     2.14 %          2.03 %             3
BM_ConstantVectorPush/10/iterations:30_mean                     103 ns          122 ns            3
BM_ConstantVectorPush/10/iterations:30_median                  98.6 ns          100 ns            3
BM_ConstantVectorPush/10/iterations:30_stddev                  18.5 ns         38.5 ns            3
BM_ConstantVectorPush/10/iterations:30_cv                     17.91 %         31.49 %             3
BM_ConstantVectorPush/100/iterations:30_mean                    156 ns          167 ns            3
BM_ConstantVectorPush/100/iterations:30_median                  140 ns          167 ns            3
BM_ConstantVectorPush/100/iterations:30_stddev                 27.7 ns         33.3 ns            3
BM_ConstantVectorPush/100/iterations:30_cv                    17.78 %         20.00 %             3
BM_ConstantVectorPush/1000/iterations:30_mean                  1610 ns         1611 ns            3
BM_ConstantVectorPush/1000/iterations:30_median                1546 ns         1533 ns            3
BM_ConstantVectorPush/1000/iterations:30_stddev                 251 ns          259 ns            3
BM_ConstantVectorPush/1000/iterations:30_cv                   15.57 %         16.07 %             3
BM_ConstantVectorPush/10000/iterations:30_mean                12883 ns        12789 ns            3
BM_ConstantVectorPush/10000/iterations:30_median              12890 ns        12633 ns            3
BM_ConstantVectorPush/10000/iterations:30_stddev                616 ns          615 ns            3
BM_ConstantVectorPush/10000/iterations:30_cv                   4.78 %          4.81 %             3
BM_ConstantVectorPush/100000/iterations:30_mean              111875 ns       111756 ns            3
BM_ConstantVectorPush/100000/iterations:30_median            113882 ns       113800 ns            3
BM_ConstantVectorPush/100000/iterations:30_stddev              4123 ns         4012 ns            3
BM_ConstantVectorPush/100000/iterations:30_cv                  3.69 %          3.59 %             3
BM_ConstantVectorPush/1000000/iterations:30_mean            1113620 ns      1109333 ns            3
BM_ConstantVectorPush/1000000/iterations:30_median          1114636 ns      1111133 ns            3
BM_ConstantVectorPush/1000000/iterations:30_stddev             6736 ns         5078 ns            3
BM_ConstantVectorPush/1000000/iterations:30_cv                 0.60 %          0.46 %             3
BM_ConstantVectorPush/10000000/iterations:30_mean          11025402 ns     10987033 ns            3
BM_ConstantVectorPush/10000000/iterations:30_median        11031368 ns     11006067 ns            3
BM_ConstantVectorPush/10000000/iterations:30_stddev           27197 ns        58871 ns            3
BM_ConstantVectorPush/10000000/iterations:30_cv                0.25 %          0.54 %             3
BM_StdVectorPop/10/iterations:30_mean                           761 ns          744 ns            3
BM_StdVectorPop/10/iterations:30_median                         708 ns          833 ns            3
BM_StdVectorPop/10/iterations:30_stddev                        95.1 ns          154 ns            3
BM_StdVectorPop/10/iterations:30_cv                           12.50 %         20.68 %             3
BM_StdVectorPop/100/iterations:30_mean                          745 ns          856 ns            3
BM_StdVectorPop/100/iterations:30_median                        751 ns          833 ns            3
BM_StdVectorPop/100/iterations:30_stddev                       47.6 ns          234 ns            3
BM_StdVectorPop/100/iterations:30_cv                           6.39 %         27.37 %             3
BM_StdVectorPop/1000/iterations:30_mean                         772 ns          456 ns            3
BM_StdVectorPop/1000/iterations:30_median                       790 ns          267 ns            3
BM_StdVectorPop/1000/iterations:30_stddev                      69.0 ns          356 ns            3
BM_StdVectorPop/1000/iterations:30_cv                          8.94 %         78.24 %             3
BM_StdVectorPop/10000/iterations:30_mean                       1236 ns         1233 ns            3
BM_StdVectorPop/10000/iterations:30_median                     1199 ns         1267 ns            3
BM_StdVectorPop/10000/iterations:30_stddev                     69.0 ns          120 ns            3
BM_StdVectorPop/10000/iterations:30_cv                         5.59 %          9.74 %             3
BM_StdVectorPop/100000/iterations:30_mean                      1458 ns         1678 ns            3
BM_StdVectorPop/100000/iterations:30_median                    1451 ns         1733 ns            3
BM_StdVectorPop/100000/iterations:30_stddev                     111 ns         96.2 ns            3
BM_StdVectorPop/100000/iterations:30_cv                        7.63 %          5.74 %             3
BM_StdVectorPop/1000000/iterations:30_mean                     1592 ns         1611 ns            3
BM_StdVectorPop/1000000/iterations:30_median                   1566 ns         1700 ns            3
BM_StdVectorPop/1000000/iterations:30_stddev                   99.0 ns          184 ns            3
BM_StdVectorPop/1000000/iterations:30_cv                       6.22 %         11.39 %             3
BM_StdVectorPop/10000000/iterations:30_mean                    5102 ns         4600 ns            3
BM_StdVectorPop/10000000/iterations:30_median                  4581 ns         4133 ns            3
BM_StdVectorPop/10000000/iterations:30_stddev                   911 ns          837 ns            3
BM_StdVectorPop/10000000/iterations:30_cv                     17.85 %         18.20 %             3
BM_ConstantVectorPop/10/iterations:30_mean                      746 ns          867 ns            3
BM_ConstantVectorPop/10/iterations:30_median                    707 ns          900 ns            3
BM_ConstantVectorPop/10/iterations:30_stddev                   78.5 ns          252 ns            3
BM_ConstantVectorPop/10/iterations:30_cv                      10.53 %         29.04 %             3
BM_ConstantVectorPop/100/iterations:30_mean                     764 ns          833 ns            3
BM_ConstantVectorPop/100/iterations:30_median                   706 ns          967 ns            3
